n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
145,12,1,first,0,1000000,81660600,91001413,6723185938,8330589519,7455624577,9340813,142526303
145,9,8,second,0,1000000,81708331,91025362,6730208339,8335535774,7461999630,9317031,141744853
145,12,1,first,1,1000000,81673812,90996534,6725412720,8329620372,7456479705,9322722,142073682
145,9,8,second,1,1000000,81691992,91019495,6727522492,8334336039,7459956432,9327503,141945667
145,12,1,first,2,1000000,81662080,90995297,6723482428,8329503017,7455371163,9333217,142243119
145,9,8,second,2,1000000,81718418,91032634,6731773774,8336842240,7463491507,9314216,141633000
145,12,1,first,3,1000000,81659613,91008608,6722971971,8332052152,7456221496,9348995,142581131
145,9,8,second,3,1000000,81691708,91028847,6727540732,8336240669,7460727260,9337139,142326881
145,12,1,first,4,1000000,81678364,91005291,6726138560,8331255447,7457661247,9326927,142071513
145,9,8,second,4,1000000,81700032,91024491,6728843890,8335484379,7461165819,9324459,141996631
145,12,1,first,5,1000000,81670146,91000594,6724615846,8330334878,7456426818,9330448,142097088
145,9,8,second,5,1000000,81710979,91034119,6730768233,8337224815,7463007697,9323140,141977654
145,12,1,first,6,1000000,81665168,91006202,6723829402,8331533818,7456486920,9341034,142389380
145,9,8,second,6,1000000,81697427,91026684,6728519775,8335725780,7461127429,9329257,141990697
145,12,1,first,7,1000000,81663616,90994358,6723701246,8329404390,7455468756,9330742,142168124
145,9,8,second,7,1000000,81692167,91023094,6727501269,8335111112,7460321648,9330927,141969085
145,12,1,first,8,1000000,81659082,91014287,6722800234,8332961013,7456434446,9355205,142892355
145,9,8,second,8,1000000,81696511,91018990,6728263445,8334442480,7460370169,9322479,141965587
145,12,1,first,9,1000000,81665982,90998171,6723960726,8329991651,7455926787,9332189,142098803
145,9,8,second,9,1000000,81698575,91021300,6728599205,8334857398,7460837846,9322725,141780911
145,12,1,first,10,1000000,81664603,91006865,6723823505,8331572083,7456412477,9342262,142570634
145,9,8,second,10,1000000,81701134,91028766,6728830428,8336125102,7461451577,9327632,142052376
145,12,1,first,11,1000000,81663971,91002078,6723728537,8330745958,7456094831,9338107,142284833
145,9,8,second,11,1000000,81701930,91019072,6729158852,8334309844,7460848528,9317142,141771640
145,12,1,first,12,1000000,81655166,91012356,6722316586,8332637970,7455948521,9357190,143057514
145,9,8,second,12,1000000,81703159,91023937,6729221329,8335162601,7461279361,9320778,141825208
145,12,1,first,13,1000000,81658799,90996354,6722705117,8329669406,7455025550,9337555,142323423
145,9,8,second,13,1000000,81697212,91032567,6728375640,8336823029,7461447847,9335355,142302975
145,12,1,first,14,1000000,81665893,91001976,6724004185,8330744622,7456207463,9336083,142333881
145,9,8,second,14,1000000,81698438,91034021,6728559154,8337104911,7461760405,9335583,142143255
145,12,1,first,15,1000000,81662223,91001878,6723524059,8330790166,7455883435,9339655,142547355
145,9,8,second,15,1000000,81703390,91037766,6729400776,8337687110,7462423000,9334376,142241886
145,12,1,first,16,1000000,81666777,91004083,6723970183,8331139105,7456410829,9337306,142287630
145,9,8,second,16,1000000,81705536,91022078,6729677728,8334928228,7461429227,9316542,141747502
145,12,1,first,17,1000000,81666902,91001098,6724190488,8330594184,7456161717,9334196,142461238
145,9,8,second,17,1000000,81702472,91030955,6729179420,8336384473,7461826842,9328483,141910209
145,12,1,first,18,1000000,81664973,91016611,6723769461,8333380385,7457228291,9351638,142693264
145,9,8,second,18,1000000,81698238,91031260,6728543906,8336690954,7461482980,9333022,142268900
145,12,1,first,19,1000000,81659074,90998945,6722964726,8330163935,7455324691,9339871,142479279
145,9,8,second,19,1000000,81706230,91034990,6729899554,8337368540,7462617868,9328760,142032358
145,12,1,first,20,1000000,81645191,91005912,6720606335,8331359206,7454468299,9360721,143028943
145,9,8,second,20,1000000,81701827,91038068,6729162055,8337928130,7462386509,9336241,142317167
145,12,1,first,21,1000000,81677532,91004817,6725781898,8331179849,7457428916,9327285,142103915
145,9,8,second,21,1000000,81684958,91022847,6726488796,8335193021,7459672555,9337889,142336707
145,12,1,first,22,1000000,81656528,90998834,6722399172,8330082032,7454989270,9342306,142502664
145,9,8,second,22,1000000,81699460,91011517,6728514304,8332927027,7459859699,9312057,141721933
145,12,1,first,23,1000000,81664553,90988325,6723828229,8328184487,7454979053,9323772,142054610
145,9,8,second,23,1000000,81700409,91017918,6728742565,8334128658,7460539432,9317509,141792359
145,12,1,first,24,1000000,81669417,91011972,6724621553,8332520340,7457294622,9342555,142552649
145,9,8,second,24,1000000,81702137,91027977,6729173193,8336038989,7461641263,9325840,141929656
145,12,1,first,25,1000000,81662866,91009834,6723541996,8332381008,7456557785,9346968,142807434
145,9,8,second,25,1000000,81709887,91031263,6730416973,8336538891,7462584443,9321376,141786978
145,12,1,first,26,1000000,81661958,91009380,6723261928,8332082840,7456274190,9347422,142796388
145,9,8,second,26,1000000,81700923,91040739,6729010803,8338380003,7462435547,9339816,142519712
145,12,1,first,27,1000000,81688234,91024642,6727601886,8334714736,7460020785,9336408,142275052
145,9,8,second,27,1000000,81705087,91034536,6729631025,8337143578,7462293667,9329449,142187269
145,12,1,first,28,1000000,81673179,91014075,6725197859,8332905751,7457770394,9340896,142562822
145,9,8,second,28,1000000,81698627,91028020,6728720775,8336153710,7461374208,9329393,142126069
145,12,1,first,29,1000000,81675389,91011515,6725468483,8332363631,7457749760,9336126,142332594
145,9,8,second,29,1000000,81698583,91023943,6728669603,8335310981,7460944407,9325360,142091770
145,12,1,first,30,1000000,81660136,91010092,6723028770,8332262796,7456231233,9349956,142829100
145,9,8,second,30,1000000,81696232,91020466,6728168802,8334790760,7460548112,9324234,141863338
145,12,1,first,31,1000000,81665954,90992476,6723897338,8328968280,7455350154,9326522,142165310
145,9,8,second,31,1000000,81713642,91034233,6731061994,8337089459,7463210058,9320591,141731337
145,12,1,first,32,1000000,81656701,91001988,6722526729,8330747720,7455301483,9345287,142671483
145,9,8,second,32,1000000,81696464,91036858,6728259850,8337567142,7461714545,9340394,142397902
145,12,1,first,33,1000000,81670211,91001509,6724588371,8330622565,7456471650,9331298,142267636
145,9,8,second,33,1000000,81710998,91037652,6730526402,8337740458,7463119304,9326654,142028252
145,12,1,first,34,1000000,81658792,90993694,6722704008,8329225946,7454832294,9334902,142265366
145,9,8,second,34,1000000,81711057,91031499,6730549285,8336732003,7462707846,9320442,141865596
145,12,1,first,35,1000000,81667330,91000925,6724230914,8330557611,7456126073,9333595,142536379
145,9,8,second,35,1000000,81709717,91026846,6730360681,8335676032,7462169377,9317129,141697959
145,12,1,first,36,1000000,81670124,91006387,6724725332,8331681391,7457045178,9336263,142316367
145,9,8,second,36,1000000,81689229,91017382,6727180303,8334010502,7459566117,9328153,142058571
145,12,1,first,37,1000000,81661111,91000743,6723105285,8330505339,7455619301,9339632,142372022
145,9,8,second,37,1000000,81696183,91027627,6728075921,8335958803,7461036202,9331444,141962320
145,12,1,first,38,1000000,81650088,91003504,6721479986,8331098712,7454910473,9353416,142757752
145,9,8,second,38,1000000,81684903,91023857,6726384935,8335363537,7459717826,9338954,142312820
145,12,1,first,39,1000000,81657843,91004489,6722735225,8331041663,7455532418,9346646,142712052
145,9,8,second,39,1000000,81701142,91032449,6728894152,8336856173,7461741443,9331307,142267439
145,12,1,first,40,1000000,81670542,91010944,6724773688,8332442350,7457294282,9340402,142627474
145,9,8,second,40,1000000,81687324,91013833,6726792596,8333430159,7459083263,9326509,142056229
145,12,1,first,41,1000000,81670561,91016646,6724712305,8333503242,7457830852,9346085,142553843
145,9,8,second,41,1000000,81697876,91030648,6728287908,8336476616,7461313608,9332772,142137308
145,12,1,first,42,1000000,81663812,91002117,6723640898,8330815357,7456014767,9338305,142426721
145,9,8,second,42,1000000,81695499,91021687,6728015269,8334925991,7460522896,9326188,141895468
145,12,1,first,43,1000000,81664548,90997252,6723807894,8329876410,7455736081,9332704,142212142
145,9,8,second,43,1000000,81687944,91030129,6726982922,8336509741,7460499922,9342185,142492819
145,12,1,first,44,1000000,81655539,90996377,6722315159,8329801549,7454801974,9340838,142512760
145,9,8,second,44,1000000,81687049,91016545,6726700875,8333966733,7459227548,9329496,142212512
145,12,1,first,45,1000000,81660920,91000303,6723161484,8330325221,7455527365,9339383,142431975
145,9,8,second,45,1000000,81688205,91018984,6726790745,8334419396,7459606511,9330779,141997119
145,12,1,first,46,1000000,81662597,90996942,6723369247,8329822782,7455408063,9334345,142375903
145,9,8,second,46,1000000,81694260,91023205,6727928160,8335296047,7460558677,9328945,142106853
145,12,1,first,47,1000000,81673595,91008649,6725234301,8332028029,7457463276,9335054,142335778
145,9,8,second,47,1000000,81704237,91035414,6729440297,8337311666,7462369917,9331177,142012129
145,12,1,first,48,1000000,81672469,91011673,6724994225,8332494403,7457585566,9339204,142317496
145,9,8,second,48,1000000,81701914,91019221,6729084546,8334270897,7460839509,9317307,141676425
145,12,1,first,49,1000000,81664493,91004338,6723816337,8331074454,7456172216,9339845,142546359
145,9,8,second,49,1000000,81689487,91025345,6727159503,8335655931,7460303614,9335858,142208206
145,12,1,first,50,1000000,81678071,91025489,6726107039,8334862083,7459162286,9347418,142644550
145,9,8,second,50,1000000,81689917,91025749,6727174071,8335516237,7460205084,9335832,142280140
145,12,1,first,51,1000000,81651245,90992517,6721718465,8329101997,7454125667,9341272,142569128
145,9,8,second,51,1000000,81710365,91036937,6730546829,8337746613,7463185423,9326572,141922596
145,12,1,first,52,1000000,81666044,90995428,6724053186,8329595722,7455676332,9329384,142296244
145,9,8,second,52,1000000,81700954,91043917,6729026620,8338994647,7462760311,9342963,142500645
145,12,1,first,53,1000000,81656502,91000891,6722478986,8330527929,7455151065,9344389,142704785
145,9,8,second,53,1000000,81693004,91019399,6727610524,8334403237,7460025609,9326395,141962543
145,12,1,first,54,1000000,81665515,91005058,6723953005,8331269570,7456381894,9339543,142458787
145,9,8,second,54,1000000,81707343,91031326,6729915207,8336627852,7462327252,9323983,141888555
145,12,1,first,55,1000000,81659766,91001551,6722986822,8330680213,7455612774,9341785,142441487
145,9,8,second,55,1000000,81693053,91027150,6727581043,8335961504,7460689805,9334097,142162937
145,12,1,first,56,1000000,81659378,90996967,6722917280,8329884417,7455221815,9337589,142358067
145,9,8,second,56,1000000,81694187,91012793,6727792579,8333174533,7459612679,9318606,141741754
145,12,1,first,57,1000000,81656941,91009872,6722522511,8332062946,7455905769,9352931,142773919
145,9,8,second,57,1000000,81700293,91023415,6728720649,8335156495,7460951657,9323122,141973830
145,12,1,first,58,1000000,81681139,91017853,6726310295,8333568267,7458780656,9336714,142317250
145,9,8,second,58,1000000,81700572,91015844,6728796342,8333741500,7460404450,9315272,141728942
145,12,1,first,59,1000000,81669003,91004941,6724456309,8331387367,7456780189,9335938,142283298
145,9,8,second,59,1000000,81693802,91033938,6727718658,8337193368,7461407801,9340136,142096424
145,12,1,first,60,1000000,81660963,90996946,6723195727,8329800126,7455301743,9335983,142392367
145,9,8,second,60,1000000,81712333,91029825,6730770309,8336244485,7462657901,9317492,141698992
145,12,1,first,61,1000000,81662938,91009319,6723500666,8332022569,7456451090,9346381,142621055
145,9,8,second,61,1000000,81693956,91029414,6727856890,8336196680,7460871798,9335458,142309974
145,12,1,first,62,1000000,81659672,90999421,6723019648,8330219041,7455453222,9339749,142332245
145,9,8,second,62,1000000,81716952,91033259,6731441982,8337050809,7463390097,9316307,141712597
145,12,1,first,63,1000000,81660554,91012382,6723304518,8332734846,7456590889,9351828,142857586
145,9,8,second,63,1000000,81701629,91018029,6728987063,8334172873,7460788584,9316400,141582768
145,12,1,first,64,1000000,81674004,91003822,6725257664,8331017550,7457019953,9329818,142235308
145,9,8,second,64,1000000,81701395,91028551,6729178169,8336258843,7461635369,9327156,142166274
145,12,1,first,65,1000000,81658142,91001499,6722654134,8330797091,7455444029,9343357,142563167
145,9,8,second,65,1000000,81684709,91026238,6726563381,8335850958,7459979226,9341529,142455887
145,12,1,first,66,1000000,81659547,91005455,6723000121,8331344565,7455827857,9345908,142688972
145,9,8,second,66,1000000,81711065,91035745,6730641005,8337348915,7463057247,9324680,141875426
145,12,1,first,67,1000000,81667512,91005026,6724114778,8331399526,7456545972,9337514,142422360
145,9,8,second,67,1000000,81705409,91022401,6729703095,8335101525,7461535404,9316992,141733812
145,12,1,first,68,1000000,81661092,90986045,6723211920,8327759767,7454438736,9324953,142094215
145,9,8,second,68,1000000,81716615,91031016,6731373107,8336392102,7463048389,9314401,141668431
145,12,1,first,69,1000000,81658547,90989841,6722759825,8328605231,7454568906,9331294,142227244
145,9,8,second,69,1000000,81683085,91024652,6726130871,8335568018,7459655840,9341567,142387209
145,12,1,first,70,1000000,81656641,91005503,6722469545,8331511541,7455546318,9348862,142888450
145,9,8,second,70,1000000,81703912,91020798,6729426712,8334632802,7461173820,9316886,141711874
145,12,1,first,71,1000000,81665331,91003657,6723992369,8331037565,7456228427,9338326,142573080
145,9,8,second,71,1000000,81702893,91010840,6729286595,8332806940,7460298293,9307947,141496949
145,12,1,first,72,1000000,81660091,90999446,6723070681,8330367286,7455514965,9339355,142408037
145,9,8,second,72,1000000,81712895,91033403,6730684481,8336792085,7462941933,9320508,141592700
145,12,1,first,73,1000000,81666596,90996173,6724129282,8329654349,7455794069,9329577,142195493
145,9,8,second,73,1000000,81710168,91041339,6730389392,8338432315,7463355443,9331171,142110821
145,12,1,first,74,1000000,81669370,91002016,6724703042,8330787448,7456557560,9332646,142375370
145,9,8,second,74,1000000,81704891,91024217,6729578741,8335392929,7461605374,9319326,141760922
145,12,1,first,75,1000000,81674445,91006393,6725293397,8331490477,7457261563,9331948,142260748
145,9,8,second,75,1000000,81708207,91032554,6730113689,8336878904,7462513717,9324347,141965159
145,12,1,first,76,1000000,81672600,91013054,6725189676,8332765438,7457725108,9340454,142504898
145,9,8,second,76,1000000,81698284,91025253,6728516508,8335565453,7461075049,9326969,141931863
145,12,1,first,77,1000000,81672878,91008434,6725064998,8331891588,7457312318,9335556,142331950
145,9,8,second,77,1000000,81693969,91029747,6727761257,8336346261,7460899913,9335778,142307692
145,12,1,first,78,1000000,81650025,90993845,6721451071,8329306203,7454086551,9343820,142584172
145,9,8,second,78,1000000,81692209,91024451,6727638061,8335363955,7460392740,9332242,142216536
145,12,1,first,79,1000000,81658639,91011300,6722895081,8332416312,7456196059,9352661,142919275
145,9,8,second,79,1000000,81705391,91026999,6729656903,8335789835,7461879817,9321608,141687104
145,12,1,first,80,1000000,81665452,91002488,6724064694,8330855008,7456248503,9337036,142422696
145,9,8,second,80,1000000,81682993,91026216,6726119239,8335733130,7459721636,9343223,142409097
145,12,1,first,81,1000000,81664945,91001122,6723792813,8330600766,7455971593,9336177,142450393
145,9,8,second,81,1000000,81701238,91022129,6728921922,8334993273,7460990460,9320891,141934275
145,12,1,first,82,1000000,81649989,90993658,6721348629,8329198208,7453957399,9343669,142632039
145,9,8,second,82,1000000,81701481,91018750,6729033859,8334382174,7460783751,9317269,141848531
145,12,1,first,83,1000000,81663773,91002720,6723682591,8330813928,7456009427,9338947,142477665
145,9,8,second,83,1000000,81697983,91029742,6728284131,8336307788,7461266923,9331759,142058073
145,12,1,first,84,1000000,81648517,90985379,6721264361,8327737129,7453254020,9336862,142493450
145,9,8,second,84,1000000,81700323,91038146,6728939235,8337961182,7462253176,9337823,142394065
145,12,1,first,85,1000000,81680915,91016045,6726416627,8333284895,7458728735,9335130,142244052
145,9,8,second,85,1000000,81695701,91032478,6728087987,8336924114,7461323036,9336777,142366029
145,12,1,first,86,1000000,81676749,91017201,6725819353,8333528943,7458364999,9340452,142618298
145,9,8,second,86,1000000,81700964,91036803,6728846346,8337549183,7462148734,9335839,142098061
145,12,1,first,87,1000000,81654639,90994959,6722102321,8329358887,7454537950,9340320,142385308
145,9,8,second,87,1000000,81694252,91026685,6727890930,8335861509,7460846146,9332433,142060147
145,12,1,first,88,1000000,81658210,90999440,6722876692,8330430788,7455308876,9341230,142689728
145,9,8,second,88,1000000,81700432,91024549,6728831576,8335307623,7461158341,9324117,141822517
145,12,1,first,89,1000000,81667418,91007354,6724443786,8331801112,7456849378,9339936,142546142
145,9,8,second,89,1000000,81699141,91028945,6728634035,8336197813,7461310542,9329804,142210764
145,12,1,first,90,1000000,81663501,91004257,6723603345,8331044009,7456072839,9340756,142501676
145,9,8,second,90,1000000,81704372,91034685,6729506114,8337281609,7462380035,9330313,142027653
145,12,1,first,91,1000000,81656149,91006300,6722569153,8331474428,7455604861,9350151,142833859
145,9,8,second,91,1000000,81699017,91024124,6728627943,8335342920,7460992683,9325107,141985497
