n,a,b,orientation,batch,samples,kind,k,count
325,17,6,first,0,5000000,minus,99,1
325,17,6,first,0,5000000,minus,101,3
325,17,6,first,0,5000000,minus,102,3
325,17,6,first,0,5000000,minus,103,1
325,17,6,first,0,5000000,minus,106,6
325,17,6,first,0,5000000,minus,107,2
325,17,6,first,0,5000000,minus,108,4
325,17,6,first,0,5000000,minus,109,6
325,17,6,first,0,5000000,minus,110,5
325,17,6,first,0,5000000,minus,111,8
325,17,6,first,0,5000000,minus,112,5
325,17,6,first,0,5000000,minus,113,9
325,17,6,first,0,5000000,minus,114,23
325,17,6,first,0,5000000,minus,115,18
325,17,6,first,0,5000000,minus,116,17
325,17,6,first,0,5000000,minus,117,20
325,17,6,first,0,5000000,minus,118,27
325,17,6,first,0,5000000,minus,119,42
325,17,6,first,0,5000000,minus,120,29
325,17,6,first,0,5000000,minus,121,47
325,17,6,first,0,5000000,minus,122,66
325,17,6,first,0,5000000,minus,123,62
325,17,6,first,0,5000000,minus,124,77
325,17,6,first,0,5000000,minus,125,92
325,17,6,first,0,5000000,minus,126,111
325,17,6,first,0,5000000,minus,127,143
325,17,6,first,0,5000000,minus,128,180
325,17,6,first,0,5000000,minus,129,208
325,17,6,first,0,5000000,minus,130,246
325,17,6,first,0,5000000,minus,131,265
325,17,6,first,0,5000000,minus,132,325
325,17,6,first,0,5000000,minus,133,373
325,17,6,first,0,5000000,minus,134,504
325,17,6,first,0,5000000,minus,135,562
325,17,6,first,0,5000000,minus,136,704
325,17,6,first,0,5000000,minus,137,805
325,17,6,first,0,5000000,minus,138,934
325,17,6,first,0,5000000,minus,139,1112
325,17,6,first,0,5000000,plus,139,2
325,17,6,first,0,5000000,minus,140,1332
325,17,6,first,0,5000000,plus,140,2
325,17,6,first,0,5000000,minus,141,1544
325,17,6,first,0,5000000,plus,141,3
325,17,6,first,0,5000000,minus,142,1815
325,17,6,first,0,5000000,plus,142,2
325,17,6,first,0,5000000,minus,143,2137
325,17,6,first,0,5000000,plus,143,6
325,17,6,first,0,5000000,minus,144,2497
325,17,6,first,0,5000000,plus,144,6
325,17,6,first,0,5000000,minus,145,2963
325,17,6,first,0,5000000,plus,145,9
325,17,6,first,0,5000000,minus,146,3440
325,17,6,first,0,5000000,plus,146,11
325,17,6,first,0,5000000,minus,147,4076
325,17,6,first,0,5000000,plus,147,18
325,17,6,first,0,5000000,minus,148,4558
325,17,6,first,0,5000000,plus,148,16
325,17,6,first,0,5000000,minus,149,5359
325,17,6,first,0,5000000,plus,149,38
325,17,6,first,0,5000000,minus,150,6064
325,17,6,first,0,5000000,plus,150,42
325,17,6,first,0,5000000,minus,151,7142
325,17,6,first,0,5000000,plus,151,63
325,17,6,first,0,5000000,minus,152,8135
325,17,6,first,0,5000000,plus,152,79
325,17,6,first,0,5000000,minus,153,9357
325,17,6,first,0,5000000,plus,153,92
325,17,6,first,0,5000000,minus,154,10620
325,17,6,first,0,5000000,plus,154,140
325,17,6,first,0,5000000,minus,155,12239
325,17,6,first,0,5000000,plus,155,180
325,17,6,first,0,5000000,minus,156,14163
325,17,6,first,0,5000000,plus,156,237
325,17,6,first,0,5000000,minus,157,16016
325,17,6,first,0,5000000,plus,157,309
325,17,6,first,0,5000000,minus,158,17888
325,17,6,first,0,5000000,plus,158,385
325,17,6,first,0,5000000,minus,159,20402
325,17,6,first,0,5000000,plus,159,516
325,17,6,first,0,5000000,minus,160,23210
325,17,6,first,0,5000000,plus,160,714
325,17,6,first,0,5000000,minus,161,26323
325,17,6,first,0,5000000,plus,161,801
325,17,6,first,0,5000000,minus,162,29427
325,17,6,first,0,5000000,plus,162,1134
325,17,6,first,0,5000000,minus,163,32939
325,17,6,first,0,5000000,plus,163,1449
325,17,6,first,0,5000000,minus,164,37343
325,17,6,first,0,5000000,plus,164,1776
325,17,6,first,0,5000000,minus,165,41404
325,17,6,first,0,5000000,plus,165,2246
325,17,6,first,0,5000000,minus,166,46240
325,17,6,first,0,5000000,plus,166,2828
325,17,6,first,0,5000000,minus,167,51061
325,17,6,first,0,5000000,plus,167,3455
325,17,6,first,0,5000000,minus,168,56630
325,17,6,first,0,5000000,plus,168,4413
325,17,6,first,0,5000000,minus,169,62393
325,17,6,first,0,5000000,plus,169,5348
325,17,6,first,0,5000000,minus,170,67932
325,17,6,first,0,5000000,plus,170,6649
325,17,6,first,0,5000000,minus,171,74935
325,17,6,first,0,5000000,plus,171,7941
325,17,6,first,0,5000000,minus,172,81721
325,17,6,first,0,5000000,plus,172,9747
325,17,6,first,0,5000000,minus,173,88602
325,17,6,first,0,5000000,plus,173,11938
325,17,6,first,0,5000000,minus,174,95515
325,17,6,first,0,5000000,plus,174,14254
325,17,6,first,0,5000000,minus,175,102293
325,17,6,first,0,5000000,plus,175,17138
325,17,6,first,0,5000000,minus,176,110265
325,17,6,first,0,5000000,plus,176,20213
325,17,6,first,0,5000000,minus,177,117243
325,17,6,first,0,5000000,plus,177,23918
325,17,6,first,0,5000000,minus,178,123730
325,17,6,first,0,5000000,plus,178,28281
325,17,6,first,0,5000000,minus,179,130398
325,17,6,first,0,5000000,plus,179,32810
325,17,6,first,0,5000000,minus,180,136999
325,17,6,first,0,5000000,plus,180,38149
325,17,6,first,0,5000000,minus,181,142570
325,17,6,first,0,5000000,plus,181,44046
325,17,6,first,0,5000000,minus,182,147552
325,17,6,first,0,5000000,plus,182,50276
325,17,6,first,0,5000000,minus,183,151613
325,17,6,first,0,5000000,plus,183,57192
325,17,6,first,0,5000000,minus,184,155432
325,17,6,first,0,5000000,plus,184,64546
325,17,6,first,0,5000000,minus,185,158449
325,17,6,first,0,5000000,plus,185,72390
325,17,6,first,0,5000000,minus,186,160031
325,17,6,first,0,5000000,plus,186,79770
325,17,6,first,0,5000000,minus,187,160568
325,17,6,first,0,5000000,plus,187,88630
325,17,6,first,0,5000000,minus,188,160127
325,17,6,first,0,5000000,plus,188,96865
325,17,6,first,0,5000000,minus,189,157637
325,17,6,first,0,5000000,plus,189,105679
325,17,6,first,0,5000000,minus,190,154969
325,17,6,first,0,5000000,plus,190,114084
325,17,6,first,0,5000000,minus,191,151223
325,17,6,first,0,5000000,plus,191,122414
325,17,6,first,0,5000000,minus,192,146358
325,17,6,first,0,5000000,plus,192,130844
325,17,6,first,0,5000000,minus,193,140740
325,17,6,first,0,5000000,plus,193,137825
325,17,6,first,0,5000000,minus,194,133900
325,17,6,first,0,5000000,plus,194,144124
325,17,6,first,0,5000000,minus,195,126558
325,17,6,first,0,5000000,plus,195,150255
325,17,6,first,0,5000000,minus,196,119010
325,17,6,first,0,5000000,plus,196,154861
325,17,6,first,0,5000000,minus,197,110895
325,17,6,first,0,5000000,plus,197,159007
325,17,6,first,0,5000000,minus,198,102031
325,17,6,first,0,5000000,plus,198,161884
325,17,6,first,0,5000000,minus,199,93718
325,17,6,first,0,5000000,plus,199,163270
325,17,6,first,0,5000000,minus,200,85399
325,17,6,first,0,5000000,plus,200,164169
325,17,6,first,0,5000000,minus,201,76508
325,17,6,first,0,5000000,plus,201,163938
325,17,6,first,0,5000000,minus,202,68291
325,17,6,first,0,5000000,plus,202,162197
325,17,6,first,0,5000000,minus,203,61021
325,17,6,first,0,5000000,plus,203,158430
325,17,6,first,0,5000000,minus,204,53415
325,17,6,first,0,5000000,plus,204,155430
325,17,6,first,0,5000000,minus,205,46732
325,17,6,first,0,5000000,plus,205,149822
325,17,6,first,0,5000000,minus,206,40356
325,17,6,first,0,5000000,plus,206,143830
325,17,6,first,0,5000000,minus,207,34860
325,17,6,first,0,5000000,plus,207,138135
325,17,6,first,0,5000000,minus,208,29506
325,17,6,first,0,5000000,plus,208,130493
325,17,6,first,0,5000000,minus,209,24958
325,17,6,first,0,5000000,plus,209,123481
325,17,6,first,0,5000000,minus,210,20826
325,17,6,first,0,5000000,plus,210,115629
325,17,6,first,0,5000000,minus,211,17438
325,17,6,first,0,5000000,plus,211,108392
325,17,6,first,0,5000000,minus,212,14523
