n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
425,16,13,first,0,5000000,1215009945,1307624153,296457527709,343119577923,318352114852,92614208,2872875928
425,19,8,second,0,5000000,1214840800,1307519320,296378257308,343062459760,318281931851,92678520,2876853366
425,16,13,first,1,5000000,1215050720,1307658395,296476762566,343136311923,318370237826,92607675,2872598837
425,19,8,second,1,5000000,1214991206,1307535708,296447462940,343070773628,318324896390,92544502,2868443788
425,16,13,first,2,5000000,1214978019,1307603577,296441890137,343108097163,318337592998,92625558,2874801304
425,19,8,second,2,5000000,1214873276,1307562070,296394821316,343085054612,318300987563,92688794,2877900802
425,16,13,first,3,5000000,1214994331,1307612987,296450026861,343113687199,318344764714,92618656,2874184632
425,19,8,second,3,5000000,1214988366,1307612156,296447517260,343108633070,318341424453,92623790,2873301424
425,16,13,first,4,5000000,1214961765,1307581015,296433617553,343095481153,318327532998,92619250,2874032710
425,19,8,second,4,5000000,1215012051,1307594939,296459104201,343100483021,318343052996,92582888,2873481230
425,16,13,first,5,5000000,1215024202,1307598691,296463563574,343104176033,318348089160,92574489,2871561287
425,19,8,second,5,5000000,1215001302,1307582722,296454668392,343094886804,318339035316,92581420,2871484564
425,16,13,first,6,5000000,1214972676,1307652875,296438832542,343133019295,318347371597,92680199,2877108643
425,19,8,second,6,5000000,1214932787,1307594006,296421109953,343101253614,318322498946,92661219,2877365675
425,16,13,first,7,5000000,1215034045,1307671680,296468023277,343143211572,318368326236,92637635,2874582377
425,19,8,second,7,5000000,1215006769,1307613685,296455739043,343110438275,318346675620,92606916,2872826078
425,16,13,first,8,5000000,1214988279,1307622375,296446723197,343116518133,318344786098,92634096,2873669134
425,19,8,second,8,5000000,1215010959,1307610819,296458919261,343111408797,318348834898,92599860,2872658262
425,16,13,first,9,5000000,1215016191,1307643900,296461635505,343129175926,318358218502,92627709,2874374427
425,19,8,second,9,5000000,1214942582,1307610512,296426504826,343108990614,318329314267,92667930,2876866906
425,16,13,first,10,5000000,1214985666,1307654933,296443867544,343134664101,318351195606,92669267,2876140433
425,19,8,second,10,5000000,1214923884,1307565612,296415356686,343086453326,318313446526,92641728,2874916960
425,16,13,first,11,5000000,1215000776,1307622932,296452260374,343117220264,318347872557,92622156,2873735524
425,19,8,second,11,5000000,1215033143,1307658795,296468392417,343133714075,318364156934,92625652,2873792624
425,16,13,first,12,5000000,1215054234,1307634476,296478240242,343123615624,318364846156,92580242,2872163554
425,19,8,second,12,5000000,1214968781,1307580050,296439410913,343094515678,318329977978,92611269,2873970635
425,16,13,first,13,5000000,1214957850,1307606883,296430355858,343108926229,318332236427,92649033,2874809233
425,19,8,second,13,5000000,1214972462,1307628445,296440303018,343116978953,318340676466,92655983,2875929039
425,16,13,first,14,5000000,1214964635,1307640947,296435705023,343127310421,318343871561,92676312,2875272322
425,19,8,second,14,5000000,1214965772,1307560110,296437209636,343084427690,318325122796,92594338,2871391734
425,16,13,first,15,5000000,1215017569,1307628918,296458988875,343119634226,318352904021,92611349,2872815059
425,19,8,second,15,5000000,1214949615,1307568908,296428920427,343087246666,318321865830,92619293,2872435433
425,16,13,first,16,5000000,1215028637,1307649916,296466021295,343131934090,318362090818,92621279,2873773749
425,19,8,second,16,5000000,1214941099,1307560244,296425461929,343082775548,318316857840,92619145,2874521797
425,16,13,first,17,5000000,1214956745,1307584598,296429979139,343096619828,318326875440,92627853,2872848087
425,19,8,second,17,5000000,1214915045,1307529740,296413840253,343068642888,318303846712,92614695,2874789717
425,16,13,first,18,5000000,1215001356,1307557958,296452256030,343082965992,318332881818,92556602,2869458386
425,19,8,second,18,5000000,1214933336,1307612550,296421125718,343110753798,318327272128,92679214,2877335260
425,16,13,first,19,5000000,1215038943,1307655024,296471334367,343134062058,318365657818,92616081,2874080789
425,19,8,second,19,5000000,1214959832,1307589977,296433706090,343097538615,318328957442,92630145,2873329821
425,16,13,first,20,5000000,1215074493,1307636572,296487659393,343124387796,318370395487,92562079,2871256215
425,19,8,second,20,5000000,1214984043,1307610919,296446001839,343109251515,318340706264,92626876,2873840826
425,16,13,first,21,5000000,1215027339,1307592269,296464356827,343101305495,318347750643,92564930,2870161036
425,19,8,second,21,5000000,1214986407,1307642991,296446834449,343127671695,318349552216,92656584,2875401712
425,16,13,first,22,5000000,1215000161,1307616870,296451052631,343115009746,318345946299,92616709,2874169779
425,19,8,second,22,5000000,1215017872,1307660836,296464277018,343136799642,318363218775,92642964,2874639110
425,16,13,first,23,5000000,1214999148,1307587493,296451140960,343097467305,318338488014,92588345,2871632237
425,19,8,second,23,5000000,1214953732,1307612807,296430655142,343110465035,318332922333,92659075,2875275511
425,16,13,first,24,5000000,1214959340,1307608522,296432146140,343111249544,318333571536,92649182,2876252612
425,19,8,second,24,5000000,1214923793,1307585484,296416439095,343097131278,318319062532,92661691,2875445309
425,16,13,first,25,5000000,1215014009,1307593314,296459197081,343101556076,318345243112,92579305,2870266933
