n,a,b,orientation,batch,samples,endpoint_failures,site_failures,line_failures,local_mark_failures,index_mismatches
145,12,1,first,0,500,0,0,0,0,0
145,9,8,second,0,500,0,0,0,0,0
145,12,1,first,1,500,0,0,0,0,0
145,9,8,second,1,500,0,0,0,0,0
145,12,1,first,2,500,0,0,0,0,0
145,9,8,second,2,500,0,0,0,0,0
145,12,1,first,3,500,0,0,0,0,0
145,9,8,second,3,500,0,0,0,0,0
145,12,1,first,4,500,0,0,0,0,0
145,9,8,second,4,500,0,0,0,0,0
145,12,1,first,5,500,0,0,0,0,0
145,9,8,second,5,500,0,0,0,0,0
145,12,1,first,6,500,0,0,0,0,0
145,9,8,second,6,500,0,0,0,0,0
145,12,1,first,7,500,0,0,0,0,0
145,9,8,second,7,500,0,0,0,0,0
145,12,1,first,8,500,0,0,0,0,0
145,9,8,second,8,500,0,0,0,0,0
145,12,1,first,9,500,0,0,0,0,0
145,9,8,second,9,500,0,0,0,0,0
145,12,1,first,10,500,0,0,0,0,0
145,9,8,second,10,500,0,0,0,0,0
145,12,1,first,11,500,0,0,0,0,0
145,9,8,second,11,500,0,0,0,0,0
145,12,1,first,12,500,0,0,0,0,0
145,9,8,second,12,500,0,0,0,0,0
145,12,1,first,13,500,0,0,0,0,0
145,9,8,second,13,500,0,0,0,0,0
145,12,1,first,14,500,0,0,0,0,0
145,9,8,second,14,500,0,0,0,0,0
145,12,1,first,15,500,0,0,0,0,0
145,9,8,second,15,500,0,0,0,0,0
145,12,1,first,16,500,0,0,0,0,0
145,9,8,second,16,500,0,0,0,0,0
145,12,1,first,17,500,0,0,0,0,0
145,9,8,second,17,500,0,0,0,0,0
145,12,1,first,18,500,0,0,0,0,0
145,9,8,second,18,500,0,0,0,0,0
145,12,1,first,19,500,0,0,0,0,0
145,9,8,second,19,500,0,0,0,0,0
