n,a,b,orientation,batch,samples,kind,k,count
145,12,1,first,0,500,minus,59,2
145,12,1,first,0,500,minus,61,2
145,12,1,first,0,500,minus,62,1
145,12,1,first,0,500,minus,63,1
145,12,1,first,0,500,minus,64,2
145,12,1,first,0,500,minus,65,3
145,12,1,first,0,500,minus,66,3
145,12,1,first,0,500,minus,67,6
145,12,1,first,0,500,minus,68,5
145,12,1,first,0,500,minus,69,5
145,12,1,first,0,500,minus,70,13
145,12,1,first,0,500,minus,71,10
145,12,1,first,0,500,plus,71,1
145,12,1,first,0,500,minus,72,13
145,12,1,first,0,500,minus,73,11
145,12,1,first,0,500,plus,73,1
145,12,1,first,0,500,minus,74,4
145,12,1,first,0,500,plus,74,2
145,12,1,first,0,500,minus,75,20
145,12,1,first,0,500,plus,75,2
145,12,1,first,0,500,minus,76,15
145,12,1,first,0,500,minus,77,17
145,12,1,first,0,500,plus,77,4
145,12,1,first,0,500,minus,78,19
145,12,1,first,0,500,plus,78,4
145,12,1,first,0,500,minus,79,28
145,12,1,first,0,500,plus,79,4
145,12,1,first,0,500,minus,80,24
145,12,1,first,0,500,plus,80,18
145,12,1,first,0,500,minus,81,21
145,12,1,first,0,500,plus,81,13
145,12,1,first,0,500,minus,82,30
145,12,1,first,0,500,plus,82,13
145,12,1,first,0,500,minus,83,30
145,12,1,first,0,500,plus,83,15
145,12,1,first,0,500,minus,84,32
145,12,1,first,0,500,plus,84,18
145,12,1,first,0,500,minus,85,28
145,12,1,first,0,500,plus,85,19
145,12,1,first,0,500,minus,86,23
145,12,1,first,0,500,plus,86,30
145,12,1,first,0,500,minus,87,26
145,12,1,first,0,500,plus,87,24
145,12,1,first,0,500,minus,88,22
145,12,1,first,0,500,plus,88,26
145,12,1,first,0,500,minus,89,17
145,12,1,first,0,500,plus,89,26
145,12,1,first,0,500,minus,90,13
145,12,1,first,0,500,plus,90,24
145,12,1,first,0,500,minus,91,10
145,12,1,first,0,500,plus,91,39
145,12,1,first,0,500,minus,92,10
145,12,1,first,0,500,plus,92,27
145,12,1,first,0,500,minus,93,9
145,12,1,first,0,500,plus,93,14
145,12,1,first,0,500,minus,94,7
145,12,1,first,0,500,plus,94,19
145,12,1,first,0,500,minus,95,9
145,12,1,first,0,500,plus,95,23
145,12,1,first,0,500,minus,96,2
