n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
65,8,1,first,0,1000,36046,41685,1317224,1752693,1509820,5639,50277
65,7,4,second,0,1000,36084,41801,1318564,1762073,1515045,5717,50547
65,8,1,first,1,1000,35861,41731,1303591,1755889,1503025,5870,53430
65,7,4,second,1,1000,36319,41927,1336023,1772667,1529821,5608,49048
65,8,1,first,2,1000,36082,41696,1318104,1753456,1510984,5614,49592
65,7,4,second,2,1000,36213,41660,1327317,1750628,1515808,5447,46329
65,8,1,first,3,1000,36312,41837,1335960,1764051,1526144,5525,47723
65,7,4,second,3,1000,36214,41623,1328052,1746845,1514455,5409,45987
65,8,1,first,4,1000,36020,41611,1314374,1746957,1506414,5591,48503
65,7,4,second,4,1000,36469,41813,1345587,1762349,1531639,5344,44658
65,8,1,first,5,1000,36328,41649,1337120,1748419,1519904,5321,45731
65,7,4,second,5,1000,36079,41701,1319411,1753917,1511847,5622,49634
65,8,1,first,6,1000,36138,41799,1323582,1761907,1517678,5661,50133
65,7,4,second,6,1000,36285,41622,1333487,1746148,1516822,5337,45991
65,8,1,first,7,1000,35979,41807,1311187,1762385,1510597,5828,52378
65,7,4,second,7,1000,36306,41859,1334072,1767283,1525623,5553,50109
65,8,1,first,8,1000,36102,41907,1322024,1770677,1520147,5805,52407
65,7,4,second,8,1000,36024,41653,1313886,1750553,1507787,5629,48865
65,8,1,first,9,1000,36126,41637,1321908,1747513,1511009,5511,47403
65,7,4,second,9,1000,36246,41803,1331812,1762633,1523002,5557,48441
65,8,1,first,10,1000,36049,41749,1316443,1757005,1511411,5700,50626
65,7,4,second,10,1000,36316,41870,1334378,1766876,1526295,5554,48664
65,8,1,first,11,1000,36329,41761,1336801,1757783,1523952,5432,46680
65,7,4,second,11,1000,36172,41696,1323652,1752424,1513655,5524,48766
65,8,1,first,12,1000,36384,41872,1339752,1767140,1529998,5488,46896
65,7,4,second,12,1000,36439,41720,1343237,1754912,1526641,5281,44867
65,8,1,first,13,1000,35987,41660,1311399,1749800,1505968,5673,49263
65,7,4,second,13,1000,36420,41829,1342826,1764463,1530196,5409,46897
65,8,1,first,14,1000,36524,41804,1350548,1762944,1533872,5280,45748
65,7,4,second,14,1000,36243,41878,1329907,1769512,1525370,5635,48679
65,8,1,first,15,1000,36334,41773,1338194,1760323,1525405,5439,47707
65,7,4,second,15,1000,36316,41838,1335660,1764286,1525430,5522,49086
65,8,1,first,16,1000,36203,41612,1327623,1745982,1513369,5409,46867
65,7,4,second,16,1000,36190,41670,1327334,1752928,1515845,5480,48572
65,8,1,first,17,1000,36438,41752,1344496,1757864,1528657,5314,45046
65,7,4,second,17,1000,36215,41814,1327661,1762542,1520592,5599,49019
65,8,1,first,18,1000,36300,41672,1335866,1751058,1520241,5372,46442
65,7,4,second,18,1000,36078,41639,1318036,1749357,1509113,5561,49167
65,8,1,first,19,1000,36326,41903,1336126,1771099,1529282,5577,48661
65,7,4,second,19,1000,36391,41790,1341251,1760024,1527771,5399,45733
