n,a,b,orientation,batch,samples,k,sum_q,sum_q2,sum_gate01,sum_gate12,sum_inactive_gate01,sum_inactive_gate12,sum_active_S,sum_active_D,sum_inactive_S,sum_inactive_D,sum_site_S,sum_site_D,sum_J_S_re,sum_J_S_im,sum_J_D_re,sum_J_D_im,sum_q_J_D_re,sum_q_J_D_im,sum_local_S,sum_local_D
65,8,1,first,0,1000,0,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,1,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,2,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,3,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,4,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,5,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,6,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,7,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,8,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,9,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,10,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,11,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,12,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,13,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,14,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,15,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,16,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,17,-1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,18,-1000,1000,1,0,0,1,47,-47,47,47,47,-47,41.304378698224852071,22.4265088757396449704,-41.304378698224852071,-22.4265088757396449704,41.304378698224852071,22.4265088757396449704,0,0
65,8,1,first,0,1000,19,-999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,20,-999,999,1,0,0,1,45,-45,45,45,45,-45,39.5467455621301775148,21.4721893491124260355,-39.5467455621301775148,-21.4721893491124260355,39.5467455621301775148,21.4721893491124260355,45,-45
65,8,1,first,0,1000,21,-998,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,1,first,0,1000,22,-998,998,1,0,0,1,43,-43,43,43,43,-43,37.7891124260355029586,20.5178698224852071006,-37.7891124260355029586,-20.5178698224852071006,37.7891124260355029586,20.5178698224852071006,0,0
65,8,1,first,0,1000,23,-997,997,2,0,0,2,84,-84,84,84,84,-84,73.8205917159763313609,40.0814201183431952663,-73.8205917159763313609,-40.0814201183431952663,73.8205917159763313609,40.0814201183431952663,42,-42
65,8,1,first,0,1000,24,-995,995,10,0,0,10,410,-410,410,410,410,-410,288.251834319526627219,156.508402366863905325,-288.251834319526627219,-156.508402366863905325,288.251834319526627219,156.508402366863905325,82,-82
65,8,1,first,0,1000,25,-985,985,8,0,0,8,320,-320,320,320,320,-320,210.915976331360946746,114.518343195266272189,-210.915976331360946746,-114.518343195266272189,210.915976331360946746,114.518343195266272189,80,-80
65,8,1,first,0,1000,26,-977,977,8,0,0,8,312,-312,312,312,312,-312,274.190769230769230769,148.873846153846153846,-274.190769230769230769,-148.873846153846153846,274.190769230769230769,148.873846153846153846,78,-78
65,8,1,first,0,1000,27,-969,969,19,0,0,19,722,-722,722,722,722,-722,500.925443786982248521,271.98106508875739645,-500.925443786982248521,-271.98106508875739645,500.925443786982248521,271.98106508875739645,-38,38
65,8,1,first,0,1000,28,-950,950,21,0,0,21,777,-777,777,777,777,-777,617.808047337278106509,335.443313609467455621,-617.808047337278106509,-335.443313609467455621,617.808047337278106509,335.443313609467455621,74,-74
65,8,1,first,0,1000,29,-929,929,29,2,2,29,1116,-972,1116,972,1116,-972,790.934911242603550296,429.44378698224852071,-664.385325443786982249,-360.732781065088757396,727.660118343195266272,395.088284023668639053,108,-36
65,8,1,first,0,1000,30,-898,902,32,1,1,32,1155,-1085,1155,1085,1155,-1085,830.481656804733727811,450.915976331360946746,-768.964497041420118343,-417.514792899408284024,799.723076923076923077,434.215384615384615385,175,-175
65,8,1,first,0,1000,31,-865,871,51,2,2,51,1802,-1666,1802,1666,1802,-1666,986.032189349112426036,535.373254437869822485,-986.032189349112426036,-535.373254437869822485,986.032189349112426036,535.373254437869822485,102,-102
