n,a,b,orientation,batch,samples,kind,k,count
130,9,7,first,0,50000,minus,39,1
130,9,7,first,0,50000,minus,40,3
130,9,7,first,0,50000,minus,41,1
130,9,7,first,0,50000,minus,42,4
130,9,7,first,0,50000,minus,43,1
130,9,7,first,0,50000,minus,44,3
130,9,7,first,0,50000,minus,45,5
130,9,7,first,0,50000,minus,46,10
130,9,7,first,0,50000,minus,47,8
130,9,7,first,0,50000,minus,48,12
130,9,7,first,0,50000,minus,49,32
130,9,7,first,0,50000,minus,50,27
130,9,7,first,0,50000,minus,51,38
130,9,7,first,0,50000,plus,51,1
130,9,7,first,0,50000,minus,52,60
130,9,7,first,0,50000,minus,53,68
130,9,7,first,0,50000,minus,54,113
130,9,7,first,0,50000,minus,55,127
130,9,7,first,0,50000,plus,55,1
130,9,7,first,0,50000,minus,56,150
130,9,7,first,0,50000,plus,56,2
130,9,7,first,0,50000,minus,57,205
130,9,7,first,0,50000,plus,57,1
130,9,7,first,0,50000,minus,58,281
130,9,7,first,0,50000,plus,58,5
130,9,7,first,0,50000,minus,59,351
130,9,7,first,0,50000,plus,59,9
130,9,7,first,0,50000,minus,60,453
130,9,7,first,0,50000,plus,60,13
130,9,7,first,0,50000,minus,61,581
130,9,7,first,0,50000,plus,61,25
130,9,7,first,0,50000,minus,62,730
130,9,7,first,0,50000,plus,62,27
130,9,7,first,0,50000,minus,63,909
130,9,7,first,0,50000,plus,63,35
130,9,7,first,0,50000,minus,64,1053
130,9,7,first,0,50000,plus,64,60
130,9,7,first,0,50000,minus,65,1337
130,9,7,first,0,50000,plus,65,101
130,9,7,first,0,50000,minus,66,1514
130,9,7,first,0,50000,plus,66,144
130,9,7,first,0,50000,minus,67,1772
130,9,7,first,0,50000,plus,67,202
130,9,7,first,0,50000,minus,68,2036
130,9,7,first,0,50000,plus,68,302
130,9,7,first,0,50000,minus,69,2179
130,9,7,first,0,50000,plus,69,405
130,9,7,first,0,50000,minus,70,2518
130,9,7,first,0,50000,plus,70,576
130,9,7,first,0,50000,minus,71,2647
130,9,7,first,0,50000,plus,71,761
130,9,7,first,0,50000,minus,72,2841
130,9,7,first,0,50000,plus,72,921
130,9,7,first,0,50000,minus,73,2985
130,9,7,first,0,50000,plus,73,1257
130,9,7,first,0,50000,minus,74,3004
130,9,7,first,0,50000,plus,74,1587
130,9,7,first,0,50000,minus,75,2985
130,9,7,first,0,50000,plus,75,1799
130,9,7,first,0,50000,minus,76,2862
130,9,7,first,0,50000,plus,76,2061
130,9,7,first,0,50000,minus,77,2793
130,9,7,first,0,50000,plus,77,2393
130,9,7,first,0,50000,minus,78,2551
130,9,7,first,0,50000,plus,78,2688
130,9,7,first,0,50000,minus,79,2182
130,9,7,first,0,50000,plus,79,2879
130,9,7,first,0,50000,minus,80,2000
130,9,7,first,0,50000,plus,80,3099
130,9,7,first,0,50000,minus,81,1712
130,9,7,first,0,50000,plus,81,3166
130,9,7,first,0,50000,minus,82,1272
130,9,7,first,0,50000,plus,82,3141
130,9,7,first,0,50000,minus,83,983
130,9,7,first,0,50000,plus,83,3020
130,9,7,first,0,50000,minus,84,759
130,9,7,first,0,50000,plus,84,2809
130,9,7,first,0,50000,minus,85,599
130,9,7,first,0,50000,plus,85,2656
