n,a,b,orientation,batch,samples,endpoint_failures,site_failures,line_failures,local_mark_failures,index_mismatches
260,16,2,first,0,50000,0,0,0,0,0
260,14,8,second,0,50000,0,0,0,0,0
260,16,2,first,1,50000,0,0,0,0,0
260,14,8,second,1,50000,0,0,0,0,0
260,16,2,first,2,50000,0,0,0,0,0
260,14,8,second,2,50000,0,0,0,0,0
260,16,2,first,3,50000,0,0,0,0,0
260,14,8,second,3,50000,0,0,0,0,0
260,16,2,first,4,50000,0,0,0,0,0
260,14,8,second,4,50000,0,0,0,0,0
260,16,2,first,5,50000,0,0,0,0,0
260,14,8,second,5,50000,0,0,0,0,0
260,16,2,first,6,50000,0,0,0,0,0
260,14,8,second,6,50000,0,0,0,0,0
260,16,2,first,7,50000,0,0,0,0,0
260,14,8,second,7,50000,0,0,0,0,0
260,16,2,first,8,50000,0,0,0,0,0
260,14,8,second,8,50000,0,0,0,0,0
260,16,2,first,9,50000,0,0,0,0,0
260,14,8,second,9,50000,0,0,0,0,0
260,16,2,first,10,50000,0,0,0,0,0
260,14,8,second,10,50000,0,0,0,0,0
260,16,2,first,11,50000,0,0,0,0,0
260,14,8,second,11,50000,0,0,0,0,0
260,16,2,first,12,50000,0,0,0,0,0
260,14,8,second,12,50000,0,0,0,0,0
260,16,2,first,13,50000,0,0,0,0,0
260,14,8,second,13,50000,0,0,0,0,0
260,16,2,first,14,50000,0,0,0,0,0
260,14,8,second,14,50000,0,0,0,0,0
260,16,2,first,15,50000,0,0,0,0,0
260,14,8,second,15,50000,0,0,0,0,0
260,16,2,first,16,50000,0,0,0,0,0
260,14,8,second,16,50000,0,0,0,0,0
260,16,2,first,17,50000,0,0,0,0,0
260,14,8,second,17,50000,0,0,0,0,0
260,16,2,first,18,50000,0,0,0,0,0
260,14,8,second,18,50000,0,0,0,0,0
260,16,2,first,19,50000,0,0,0,0,0
260,14,8,second,19,50000,0,0,0,0,0
260,16,2,first,20,50000,0,0,0,0,0
260,14,8,second,20,50000,0,0,0,0,0
260,16,2,first,21,50000,0,0,0,0,0
260,14,8,second,21,50000,0,0,0,0,0
260,16,2,first,22,50000,0,0,0,0,0
260,14,8,second,22,50000,0,0,0,0,0
260,16,2,first,23,50000,0,0,0,0,0
260,14,8,second,23,50000,0,0,0,0,0
260,16,2,first,24,50000,0,0,0,0,0
260,14,8,second,24,50000,0,0,0,0,0
260,16,2,first,25,50000,0,0,0,0,0
260,14,8,second,25,50000,0,0,0,0,0
260,16,2,first,26,50000,0,0,0,0,0
260,14,8,second,26,50000,0,0,0,0,0
260,16,2,first,27,50000,0,0,0,0,0
260,14,8,second,27,50000,0,0,0,0,0
260,16,2,first,28,50000,0,0,0,0,0
260,14,8,second,28,50000,0,0,0,0,0
260,16,2,first,29,50000,0,0,0,0,0
260,14,8,second,29,50000,0,0,0,0,0
260,16,2,first,30,50000,0,0,0,0,0
260,14,8,second,30,50000,0,0,0,0,0
260,16,2,first,31,50000,0,0,0,0,0
260,14,8,second,31,50000,0,0,0,0,0
260,16,2,first,32,50000,0,0,0,0,0
260,14,8,second,32,50000,0,0,0,0,0
