n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
260,16,2,first,0,50000,7388598,8064981,1097986876,1306619229,1194732243,676383,15141619
260,14,8,second,0,50000,7387190,8064646,1097547232,1306553250,1194415221,677456,15270040
260,16,2,first,1,50000,7380753,8063374,1095753893,1306096836,1193186031,682621,15478667
260,14,8,second,1,50000,7385830,8066413,1097189012,1307092185,1194447181,680583,15386835
260,16,2,first,2,50000,7383651,8060767,1096611131,1305218727,1193288542,677116,15252774
260,14,8,second,2,50000,7386898,8061363,1097383336,1305487953,1193905498,674465,15060293
260,16,2,first,3,50000,7383410,8063135,1096470738,1306008139,1193586126,679725,15306625
260,14,8,second,3,50000,7382438,8065585,1096166052,1306853245,1193807946,683147,15403405
260,16,2,first,4,50000,7385537,8058927,1097097013,1304568775,1193295540,673390,15074708
260,14,8,second,4,50000,7387691,8067915,1097686155,1307562405,1194978112,680224,15292336
260,16,2,first,5,50000,7388903,8065271,1098076689,1306630099,1194749675,676368,15207438
260,14,8,second,5,50000,7383731,8060960,1096497719,1305296570,1193286528,677229,15221233
260,16,2,first,6,50000,7393570,8067409,1099480350,1307372139,1195877961,673839,15096567
260,14,8,second,6,50000,7386970,8062092,1097446082,1305696044,1194010475,675122,15121176
260,16,2,first,7,50000,7383914,8059451,1096631058,1304827475,1193136506,675537,15185521
260,14,8,second,7,50000,7384169,8061344,1096641271,1305465286,1193438676,677175,15229205
260,16,2,first,8,50000,7383195,8060915,1096423843,1305367467,1193252713,677720,15285884
260,14,8,second,8,50000,7386629,8065343,1097446991,1306760059,1194463705,678714,15279640
260,16,2,first,9,50000,7382871,8064126,1096306295,1306356462,1193623829,681255,15415099
260,14,8,second,9,50000,7384303,8061231,1096710019,1305425933,1193436796,676928,15262360
260,16,2,first,10,50000,7385314,8064033,1097052806,1306304453,1194049369,678719,15258521
260,14,8,second,10,50000,7388400,8063201,1097848882,1306068347,1194399322,674801,15118585
260,16,2,first,11,50000,7381955,8057096,1096025309,1304011590,1192435368,675141,15166163
260,14,8,second,11,50000,7383748,8061360,1096538256,1305455798,1193380172,677612,15233710
260,16,2,first,12,50000,7385290,8065988,1097005418,1306941848,1194306768,680698,15333730
260,14,8,second,12,50000,7387386,8063939,1097573734,1306257415,1194366323,676553,15098503
260,16,2,first,13,50000,7386420,8065073,1097381306,1306640159,1194358820,678653,15303825
260,14,8,second,13,50000,7386577,8062715,1097463909,1305869481,1194090658,676138,15152074
260,16,2,first,14,50000,7386587,8064477,1097364459,1306426431,1194291958,677890,15206974
260,14,8,second,14,50000,7386074,8063784,1097190308,1306150160,1194073028,677710,15194412
260,16,2,first,15,50000,7386872,8064346,1097414316,1306337740,1194272091,677474,15207874
260,14,8,second,15,50000,7383153,8061669,1096425349,1305539061,1193325538,678516,15313334
260,16,2,first,16,50000,7386249,8063898,1097270025,1306250422,1194140678,677649,15239091
260,14,8,second,16,50000,7386083,8064975,1097302517,1306584047,1194282490,678892,15321584
260,16,2,first,17,50000,7385160,8060776,1097013126,1305199248,1193569018,675616,15074338
260,14,8,second,17,50000,7387702,8064975,1097703418,1306668399,1194566103,677273,15239611
260,16,2,first,18,50000,7381799,8058772,1095997505,1304565336,1192718505,676973,15125831
260,14,8,second,18,50000,7386118,8063602,1097198524,1306217144,1194070044,677484,15275580
260,16,2,first,19,50000,7386458,8065398,1097415956,1306666788,1194402833,678940,15277078
260,14,8,second,19,50000,7387481,8063047,1097621209,1305942065,1194206815,675566,15149644
260,16,2,first,20,50000,7386438,8062949,1097340654,1305970111,1194072272,676511,15166221
260,14,8,second,20,50000,7386057,8062212,1097190293,1305704182,1193843606,676155,15207263
260,16,2,first,21,50000,7385589,8066309,1097170513,1307005139,1194407990,680720,15359672
260,14,8,second,21,50000,7386102,8062171,1097236944,1305654885,1193818937,676069,15253955
260,16,2,first,22,50000,7386055,8065596,1097255339,1306856778,1194421465,679541,15269187
260,14,8,second,22,50000,7385774,8061247,1097126470,1305430643,1193704941,675473,15147231
260,16,2,first,23,50000,7380988,8060932,1095815160,1305367042,1192894488,679944,15393226
260,14,8,second,23,50000,7384712,8061834,1096833958,1305639430,1193633002,677122,15207384
260,16,2,first,24,50000,7386262,8059811,1097252626,1304939303,1193536146,673549,15119637
260,14,8,second,24,50000,7386927,8064281,1097489871,1306386267,1194346834,677354,15182470
260,16,2,first,25,50000,7385728,8060515,1097149966,1305140161,1193570391,674787,15149345
260,14,8,second,25,50000,7381315,8061380,1095878003,1305531072,1193038883,680065,15331309
260,16,2,first,26,50000,7386040,8060095,1097261836,1305053545,1193599152,674055,15117077
260,14,8,second,26,50000,7384472,8060782,1096832282,1305240392,1193406345,676310,15259984
260,16,2,first,27,50000,7386378,8064962,1097325188,1306633928,1194366600,678584,15225916
260,14,8,second,27,50000,7386692,8062057,1097380646,1305665439,1193982501,675365,15081083
260,16,2,first,28,50000,7389064,8065527,1098122932,1306802525,1194891228,676463,15143001
260,14,8,second,28,50000,7383939,8061960,1096572933,1305686322,1193489554,678021,15280147
260,16,2,first,29,50000,7380344,8059592,1095577076,1304883614,1192564386,679248,15331918
260,14,8,second,29,50000,7383966,8062696,1096662772,1305966350,1193672454,678730,15284214
260,16,2,first,30,50000,7382699,8064232,1096265129,1306380708,1193589248,681533,15467341
260,14,8,second,30,50000,7383050,8063896,1096329038,1306301232,1193612796,680846,15404678
260,16,2,first,31,50000,7386648,8067719,1097479338,1307469295,1194798697,681071,15351239
260,14,8,second,31,50000,7387811,8061144,1097708513,1305404122,1194049258,673333,15014119
260,16,2,first,32,50000,7384985,8064984,1096954221,1306632826,1194113770,679999,15359507
260,14,8,second,32,50000,7382828,8063424,1096288424,1306135514,1193548396,680596,15327146
260,16,2,first,33,50000,7389770,8065992,1098365748,1306897720,1195052942,676222,15157584
260,14,8,second,33,50000,7387216,8066363,1097571904,1307065587,1194673957,679147,15289577
260,16,2,first,34,50000,7381540,8060318,1095922012,1305080508,1192802886,678778,15396748
260,14,8,second,34,50000,7388217,8063901,1097793949,1306227709,1194435779,675684,15150100
260,16,2,first,35,50000,7384397,8061484,1096800425,1305465622,1193506201,677087,15253645
260,14,8,second,35,50000,7387131,8061216,1097501459,1305388624,1193888105,674085,15113873
260,16,2,first,36,50000,7380007,8062339,1095485707,1305745999,1192919682,682332,15392342
260,14,8,second,36,50000,7386507,8062063,1097396095,1305717575,1193958386,675556,15196898
260,16,2,first,37,50000,7388651,8064693,1097988117,1306451107,1194598116,676042,15242992
260,14,8,second,37,50000,7388136,8068970,1097948548,1307927428,1195264852,680834,15346272
260,16,2,first,38,50000,7382255,8061201,1096083017,1305382631,1193071493,678946,15322662
260,14,8,second,38,50000,7386286,8065948,1097274700,1306883750,1194412290,679662,15333870
260,16,2,first,39,50000,7382591,8060252,1096234681,1305111430,1193077551,677661,15191009
260,14,8,second,39,50000,7384474,8065442,1096747404,1306749734,1194083370,680968,15330398
260,16,2,first,40,50000,7385110,8062576,1096951288,1305841114,1193780866,677466,15230670
260,14,8,second,40,50000,7381398,8060039,1095893370,1305039463,1192824665,678641,15283503
260,16,2,first,41,50000,7384654,8062633,1096811670,1305817821,1193703807,677979,15221877
260,14,8,second,41,50000,7387283,8064302,1097584325,1306445174,1194421917,677019,15185665
260,16,2,first,42,50000,7379787,8059286,1095422705,1304736682,1192449581,679499,15260225
260,14,8,second,42,50000,7385561,8060762,1097005689,1305282516,1193578634,675201,15130937
260,16,2,first,43,50000,7388265,8064489,1097936661,1306420645,1194550701,676224,15255904
260,14,8,second,43,50000,7384242,8064809,1096665598,1306547959,1193938033,680567,15337491
260,16,2,first,44,50000,7387452,8062160,1097696248,1305655552,1194115354,674708,15121092
260,14,8,second,44,50000,7383338,8064048,1096440246,1306268126,1193685062,680710,15338248
260,16,2,first,45,50000,7385263,8062979,1096988599,1305920393,1193831055,677716,15246882
260,14,8,second,45,50000,7386205,8064560,1097265241,1306451750,1194226638,678355,15263715
260,16,2,first,46,50000,7384149,8061940,1096709027,1305675872,1193537079,677791,15310741
260,14,8,second,46,50000,7383441,8061055,1096467139,1305378575,1193317939,677614,15209836
260,16,2,first,47,50000,7382908,8059068,1096329542,1304687146,1192917250,676160,15182188
260,14,8,second,47,50000,7384499,8061814,1096758663,1305604672,1193576561,677315,15210213
260,16,2,first,48,50000,7383093,8060290,1096360823,1305030208,1193091095,677197,15208841
260,14,8,second,48,50000,7386552,8063732,1097326654,1306245300,1194184976,677180,15202002
260,16,2,first,49,50000,7385620,8067429,1097182472,1307429507,1194578310,681809,15455359
260,14,8,second,49,50000,7383850,8059690,1096488934,1304924862,1193147496,675840,15118804
260,16,2,first,50,50000,7389288,8063036,1098209242,1305943802,1194557734,673748,15037576
260,14,8,second,50,50000,7386512,8064970,1097370056,1306598096,1194377890,678458,15212372
260,16,2,first,51,50000,7387656,8062759,1097727394,1305872305,1194227795,675103,15144109
260,14,8,second,51,50000,7384872,8064839,1096894932,1306619123,1194072529,679967,15368997
260,16,2,first,52,50000,7382142,8066513,1096102176,1307121783,1193824084,684371,15575791
260,14,8,second,52,50000,7387901,8065192,1097814063,1306616956,1194599655,677291,15231709
260,16,2,first,53,50000,7383183,8065045,1096419247,1306620541,1193808316,681862,15423156
260,14,8,second,53,50000,7382011,8063054,1096092449,1306010326,1193357173,681043,15388429
260,16,2,first,54,50000,7383304,8064852,1096497648,1306519358,1193794964,681548,15427078
260,14,8,second,54,50000,7383110,8061514,1096411798,1305509840,1193324522,678404,15272594
260,16,2,first,55,50000,7385078,8062696,1096975376,1305896114,1193808875,677618,15253740
260,14,8,second,55,50000,7382744,8061520,1096232230,1305538578,1193219370,678776,15332068
260,16,2,first,56,50000,7384948,8062236,1096948952,1305770862,1193765336,677288,15189142
260,14,8,second,56,50000,7385582,8062208,1097071214,1305704690,1193786389,676626,15203126
260,16,2,first,57,50000,7385194,8061854,1096996352,1305563130,1193683786,676660,15191910
260,14,8,second,57,50000,7382493,8061166,1096167477,1305417846,1193165726,678673,15253871
260,16,2,first,58,50000,7388345,8062259,1097890853,1305701765,1194236344,673914,15119930
260,14,8,second,58,50000,7386744,8064326,1097382596,1306399086,1194294248,677582,15193186
260,16,2,first,59,50000,7384365,8065076,1096718091,1306740884,1194027421,680711,15404133
260,14,8,second,59,50000,7381310,8060153,1095842824,1305092151,1192822853,678843,15289269
260,16,2,first,60,50000,7386082,8066460,1097197704,1307010486,1194438523,680378,15331144
260,14,8,second,60,50000,7385865,8060813,1097138819,1305214461,1193598276,674948,15156728
260,16,2,first,61,50000,7381378,8062981,1095841534,1305977965,1193220656,681603,15378187
260,14,8,second,61,50000,7384500,8059306,1096732392,1304803076,1193220500,674806,15094468
260,16,2,first,62,50000,7383854,8064819,1096609224,1306482755,1193835278,680965,15421423
260,14,8,second,62,50000,7383960,8058866,1096570920,1304606936,1193032498,674906,15112860
260,16,2,first,63,50000,7382628,8063583,1096237946,1306200369,1193542561,680955,15353193
260,14,8,second,63,50000,7382559,8065596,1096187869,1306780114,1193781037,683037,15405909
260,16,2,first,64,50000,7384455,8062937,1096813345,1305999857,1193754961,678482,15303280
260,14,8,second,64,50000,7383140,8061162,1096427180,1305434154,1193318758,678022,15223818
260,16,2,first,65,50000,7385938,8063947,1097221818,1306215909,1194097507,678009,15242713
260,14,8,second,65,50000,7392456,8071102,1099044526,1308514066,1196139525,678646,15279542
260,16,2,first,66,50000,7386578,8062002,1097425176,1305708314,1193970490,675424,15192510
260,14,8,second,66,50000,7387972,8067497,1097803524,1307439063,1194920495,679525,15401597
260,16,2,first,67,50000,7382162,8064417,1096171550,1306491599,1193614798,682255,15433553
260,14,8,second,67,50000,7383781,8062810,1096589259,1305929196,1193591874,679029,15334707
260,16,2,first,68,50000,7386948,8066439,1097423334,1307053665,1194573611,679491,15329777
260,14,8,second,68,50000,7392100,8067830,1098913404,1307445792,1195608353,675730,15142490
260,16,2,first,69,50000,7387513,8064799,1097652661,1306571849,1194490887,677286,15242736
260,14,8,second,69,50000,7383598,8064667,1096551064,1306508077,1193835629,681069,15387883
260,16,2,first,70,50000,7384547,8060566,1096829577,1305206106,1193427695,676019,15180293
260,14,8,second,70,50000,7387118,8065465,1097531914,1306772329,1194508078,678347,15288087
260,16,2,first,71,50000,7380790,8060060,1095748216,1305077416,1192772584,679270,15280464
260,14,8,second,71,50000,7386473,8066679,1097400635,1307247901,1194658373,680206,15331790
260,16,2,first,72,50000,7382653,8063222,1096239221,1306040746,1193475507,680569,15328953
260,14,8,second,72,50000,7384324,8059451,1096738890,1304817261,1193209763,675127,15136625
260,16,2,first,73,50000,7385994,8062194,1097165204,1305767758,1193898605,676200,15135752
260,14,8,second,73,50000,7386404,8065268,1097293054,1306729416,1194383689,678864,15255092
260,16,2,first,74,50000,7387048,8065259,1097485522,1306650393,1194446629,678211,15242657
260,14,8,second,74,50000,7387373,8063776,1097544493,1306206820,1194268534,676403,15214245
260,16,2,first,75,50000,7384663,8060225,1096848031,1305077389,1193390838,675562,15143744
260,14,8,second,75,50000,7381758,8060984,1095976052,1305346140,1193027331,679226,15267530
260,16,2,first,76,50000,7382044,8063385,1096027600,1306115483,1193414313,681341,15314457
260,14,8,second,76,50000,7386821,8068007,1097497683,1307615109,1194869443,681186,15373906
260,16,2,first,77,50000,7382852,8062172,1096274608,1305726738,1193345748,679320,15309850
260,14,8,second,77,50000,7386468,8062504,1097306770,1305815580,1194009152,676036,15104046
260,16,2,first,78,50000,7384146,8061342,1096716124,1305371694,1193414408,677196,15259002
260,14,8,second,78,50000,7382314,8063314,1096126920,1306053114,1193417624,681000,15344786
260,16,2,first,79,50000,7386535,8064806,1097405515,1306613428,1194365842,678271,15287259
260,14,8,second,79,50000,7384331,8061726,1096705697,1305557040,1193514490,677395,15233757
260,16,2,first,80,50000,7387221,8067550,1097628081,1307416258,1194838315,680329,15367709
260,14,8,second,80,50000,7387688,8069160,1097740494,1308001654,1195172812,681472,15396524
260,16,2,first,81,50000,7381407,8059212,1095822313,1304704922,1192657574,677805,15212087
260,14,8,second,81,50000,7387970,8064448,1097729614,1306456448,1194539108,676478,15107846
260,16,2,first,82,50000,7383762,8062284,1096590436,1305787340,1193560285,678522,15257206
260,14,8,second,82,50000,7382716,8057857,1096231642,1304397471,1192711872,675141,15205369
260,16,2,first,83,50000,7384829,8063804,1096959689,1306258242,1193948198,678975,15321535
260,14,8,second,83,50000,7388857,8065183,1098003473,1306696559,1194768867,676326,15162298
260,16,2,first,84,50000,7387287,8066201,1097605773,1306981033,1194609589,678914,15367628
260,14,8,second,84,50000,7385728,8061957,1097148084,1305667175,1193800212,676229,15214835
260,16,2,first,85,50000,7383600,8064444,1096542170,1306500046,1193820514,680844,15401188
260,14,8,second,85,50000,7389174,8065670,1098075368,1306788686,1194861049,676496,15141956
260,16,2,first,86,50000,7382337,8062749,1096166203,1305949775,1193329297,680412,15457384
260,14,8,second,86,50000,7380671,8061751,1095628717,1305514577,1192901837,681080,15339620
260,16,2,first,87,50000,7386375,8062589,1097322821,1305833259,1193988285,676214,15179510
260,14,8,second,87,50000,7387913,8066746,1097793037,1307158172,1194844021,678833,15263167
260,16,2,first,88,50000,7384612,8061318,1096877392,1305374332,1193537821,676706,15176082
260,14,8,second,88,50000,7384983,8061065,1096893617,1305266531,1193506512,676082,15147124
260,16,2,first,89,50000,7379634,8061560,1095350456,1305528260,1192728299,681926,15422118
260,14,8,second,89,50000,7382350,8061788,1096092766,1305554370,1193183981,679438,15279174
260,16,2,first,90,50000,7382072,8060249,1096069930,1305039491,1192922472,678177,15264477
260,14,8,second,90,50000,7387065,8065239,1097543607,1306711871,1194493562,678174,15268354
260,16,2,first,91,50000,7381850,8058686,1095996368,1304514560,1192676057,676836,15158814
260,14,8,second,91,50000,7382476,8064255,1096160640,1306439685,1193596275,681779,15407775
260,16,2,first,92,50000,7386755,8067202,1097460613,1307365108,1194727346,680447,15371029
260,14,8,second,92,50000,7383136,8059018,1096286100,1304728620,1192932288,675882,15150144
260,16,2,first,93,50000,7385736,8058262,1097110794,1304392456,1193282067,672526,14939116
