batch,first_replica,samples,defined,sum_Rminus,sum_Rminus2,sum_Rplus,sum_Rplus2,nonzero_Rminus,typed_defined_mismatch,typed_Rminus_residual_max,typed_Rplus_sum_max,typed_support_mismatch,fixed_support_order_null_failures,o0_samples,o0_defined,o0_sum_Rminus,o0_sum_Rplus,o1_samples,o1_defined,o1_sum_Rminus,o1_sum_Rplus,o2_samples,o2_defined,o2_sum_Rminus,o2_sum_Rplus,o3_samples,o3_defined,o3_sum_Rminus,o3_sum_Rplus,o4_samples,o4_defined,o4_sum_Rminus,o4_sum_Rplus,o5_samples,o5_defined,o5_sum_Rminus,o5_sum_Rplus,o6_samples,o6_defined,o6_sum_Rminus,o6_sum_Rplus,o7_samples,o7_defined,o7_sum_Rminus,o7_sum_Rplus,hist_Rminus_-2,hist_Rminus_-1,hist_Rminus_0,hist_Rminus_1,hist_Rminus_2
0,10250000000,500,20,32,56,2,20,20,0,0,0,0,0,63,3,3,-4,63,3,5,1,63,3,5,0,63,1,2,0,62,1,2,0,62,3,5,1,62,4,6,4,62,2,4,0,0,0,0,8,12
1,10250000500,500,16,27,49,-1,3,16,0,0,0,0,0,62,1,2,0,62,4,6,-1,62,2,4,0,62,0,0,0,63,1,2,0,63,4,6,0,63,3,5,0,63,1,2,0,0,0,0,5,11
2,10250001000,500,22,39,73,-3,13,22,0,0,0,0,0,63,4,8,0,63,4,7,2,63,2,4,0,63,0,0,0,62,2,4,-1,62,3,6,-1,62,5,8,-3,62,2,2,0,0,0,0,5,17
3,10250001500,500,23,40,74,-1,15,23,0,0,0,0,0,62,3,5,-1,62,1,2,0,62,4,5,0,62,3,6,0,63,3,5,0,63,3,6,-1,63,3,6,0,63,3,5,1,0,0,0,6,17
4,10250002000,500,14,22,38,4,4,14,0,0,0,0,0,63,3,5,0,63,2,4,0,63,2,3,0,63,3,3,3,62,2,3,1,62,1,2,0,62,1,2,0,62,0,0,0,0,0,0,6,8
5,10250002500,500,18,30,54,5,11,18,0,0,0,0,0,62,1,2,-1,62,2,3,1,62,5,10,0,62,2,3,3,63,3,4,-1,63,1,2,0,63,0,0,0,63,4,6,3,0,0,0,6,12
6,10250003000,500,15,29,57,-2,2,15,0,0,0,0,0,63,4,8,-1,63,2,4,0,63,2,3,-1,63,2,4,0,62,1,2,0,62,2,4,0,62,0,0,0,62,2,4,0,0,0,0,1,14
7,10250003500,500,25,46,88,-6,10,25,0,0,0,0,0,62,2,4,0,62,0,0,0,62,3,5,0,62,6,12,0,63,4,7,0,63,2,4,-1,63,3,5,-1,63,5,9,-4,0,0,0,4,21
8,10250004000,500,18,31,57,2,14,18,0,0,0,0,0,63,2,3,-2,63,4,7,-1,63,2,3,2,63,4,8,0,62,2,4,0,62,3,5,1,62,1,1,2,62,0,0,0,0,0,0,5,13
9,10250004500,500,11,20,38,-3,5,11,0,0,0,0,0,62,0,0,0,62,1,2,0,62,3,5,-2,62,0,0,0,63,3,5,-1,63,1,2,0,63,2,4,-1,63,1,2,1,0,0,0,2,9
