batch,replica,hand,residue,translation,fiber,orientation,anchor_D_field,anchor_J_field,landing_field,L_D,L_J,L_DJ,L_JD,R_plus,R_minus,dual_reason,D0_site_field,D0_source_id,D0_target_id,D0_source_rank,D0_target_rank,D0_source_basis,D0_target_basis,dual_D0_site_field,dual_D0_source_id,dual_D0_target_id,dual_D0_source_rank,dual_D0_target_rank,dual_D0_source_basis,dual_D0_target_basis,J0_site_field,J0_source_id,J0_target_id,J0_source_rank,J0_target_rank,J0_source_basis,J0_target_basis,dual_J0_site_field,dual_J0_source_id,dual_J0_target_id,dual_J0_source_rank,dual_J0_target_rank,dual_J0_source_basis,dual_J0_target_basis,J_after_D_site_field,J_after_D_source_id,J_after_D_target_id,J_after_D_source_rank,J_after_D_target_rank,J_after_D_source_basis,J_after_D_target_basis,dual_J_after_D_site_field,dual_J_after_D_source_id,dual_J_after_D_target_id,dual_J_after_D_source_rank,dual_J_after_D_target_rank,dual_J_after_D_source_basis,dual_J_after_D_target_basis,D_after_J_site_field,D_after_J_source_id,D_after_J_target_id,D_after_J_source_rank,D_after_J_target_rank,D_after_J_source_basis,D_after_J_target_basis,dual_D_after_J_site_field,dual_D_after_J_source_id,dual_D_after_J_target_id,dual_D_after_J_source_rank,dual_D_after_J_target_rank,dual_D_after_J_source_basis,dual_D_after_J_target_basis
0,25050500003,plus,59,69,0,3,345,390,265,0,1,1,-1,1,2,defined,280,240,2,1,1,"((0, 1),)","((0, 1),)",275,2,240,1,1,"((0, 1),)","((0, 1),)",275,2,240,1,1,"((0, 1),)","((0, 1),)",280,240,2,1,1,"((0, 1),)","((0, 1),)",325,2,240,1,1,"((0, 1),)","((0, 1),)",265,100,2,1,1,"((0, 1),)","((0, 1),)",265,100,2,1,1,"((0, 1),)","((0, 1),)",325,2,240,1,1,"((0, 1),)","((0, 1),)"
0,25050500003,minus,59,69,0,3,345,390,265,0,1,1,-1,1,2,defined,280,38,1,1,1,"((0, 1),)","((0, 1),)",275,1,38,1,1,"((0, 1),)","((0, 1),)",275,1,38,1,1,"((0, 1),)","((0, 1),)",280,38,1,1,1,"((0, 1),)","((0, 1),)",325,1,38,1,1,"((0, 1),)","((0, 1),)",265,7,1,1,1,"((0, 1),)","((0, 1),)",265,7,1,1,1,"((0, 1),)","((0, 1),)",325,1,38,1,1,"((0, 1),)","((0, 1),)"
0,25050500031,plus,1,52,1,3,261,306,311,-1,1,1,-1,0,2,defined,361,5,10,1,1,"((1, -1),)","((1, -1),)",311,10,5,1,1,"((1, -1),)","((1, -1),)",311,10,5,1,1,"((1, -1),)","((1, -1),)",361,5,10,1,1,"((1, -1),)","((1, -1),)",311,10,5,1,1,"((1, -1),)","((1, -1),)",311,5,328,1,0,"((1, -1),)",(),311,5,328,1,0,"((1, -1),)",(),311,10,5,1,1,"((1, -1),)","((1, -1),)"
0,25050500031,minus,1,52,1,3,261,306,311,-1,1,1,-1,0,2,defined,361,11,8,1,1,"((0, 1),)","((0, 1),)",311,8,11,1,1,"((0, 1),)","((0, 1),)",311,8,11,1,1,"((0, 1),)","((0, 1),)",361,11,8,1,1,"((0, 1),)","((0, 1),)",311,8,11,1,1,"((0, 1),)","((0, 1),)",311,11,320,1,0,"((0, 1),)",(),311,11,320,1,0,"((0, 1),)",(),311,8,11,1,1,"((0, 1),)","((0, 1),)"
0,25050500050,plus,42,47,3,2,238,183,318,-1,1,1,1,-2,0,defined,318,120,2,1,1,"((0, 1),)","((0, 1),)",273,2,120,1,1,"((0, 1),)","((0, 1),)",273,2,120,1,1,"((0, 1),)","((0, 1),)",318,120,2,1,1,"((0, 1),)","((0, 1),)",318,2,120,1,1,"((0, 1),)","((0, 1),)",268,120,2,1,1,"((0, 1),)","((0, 1),)",268,120,2,1,1,"((0, 1),)","((0, 1),)",318,2,120,1,1,"((0, 1),)","((0, 1),)"
0,25050500050,minus,42,47,3,2,238,183,318,-1,1,1,1,-2,0,defined,318,41,4,1,1,"((0, 1),)","((0, 1),)",273,4,41,1,1,"((0, 1),)","((0, 1),)",273,4,41,1,1,"((0, 1),)","((0, 1),)",318,41,4,1,1,"((0, 1),)","((0, 1),)",318,4,41,1,1,"((0, 1),)","((0, 1),)",268,41,4,1,1,"((0, 1),)","((0, 1),)",268,41,4,1,1,"((0, 1),)","((0, 1),)",318,4,41,1,1,"((0, 1),)","((0, 1),)"
0,25050500134,plus,42,17,2,2,87,32,167,-1,1,1,-1,0,2,defined,167,2,1,1,1,"((1, 0),)","((1, 0),)",217,1,2,1,1,"((1, 0),)","((1, 0),)",217,1,2,1,1,"((1, 0),)","((1, 0),)",167,2,1,1,1,"((1, 0),)","((1, 0),)",167,1,2,1,1,"((1, 0),)","((1, 0),)",167,2,1,1,1,"((1, 0),)","((1, 0),)",167,2,1,1,1,"((1, 0),)","((1, 0),)",167,1,2,1,1,"((1, 0),)","((1, 0),)"
0,25050500184,plus,42,38,2,0,192,247,272,-1,1,1,1,-2,0,defined,272,4,136,1,1,"((0, 1),)","((0, 1),)",317,136,4,1,1,"((0, 1),)","((0, 1),)",317,136,4,1,1,"((0, 1),)","((0, 1),)",272,4,136,1,1,"((0, 1),)","((0, 1),)",272,136,0,1,1,"((0, 1),)","((0, 1),)",267,4,136,1,1,"((0, 1),)","((0, 1),)",267,4,136,1,1,"((0, 1),)","((0, 1),)",272,136,0,1,1,"((0, 1),)","((0, 1),)"
0,25050500206,minus,75,58,2,2,292,237,2,-1,1,1,-1,0,2,defined,2,2,1,1,1,"((1, 0),)","((1, 0),)",456,1,2,1,1,"((1, 0),)","((1, 0),)",456,1,2,1,1,"((1, 0),)","((1, 0),)",2,2,1,1,1,"((1, 0),)","((1, 0),)",2,1,201,1,0,"((1, 0),)",(),2,2,1,1,1,"((1, 0),)","((1, 0),)",2,2,1,1,1,"((1, 0),)","((1, 0),)",2,1,201,1,0,"((1, 0),)",()
0,25050500266,plus,84,53,0,2,265,210,425,0,1,0,-1,2,1,defined,325,290,0,1,1,"((0, 1),)","((0, 1),)",375,0,290,1,1,"((0, 1),)","((0, 1),)",375,0,290,1,1,"((0, 1),)","((0, 1),)",325,290,0,1,1,"((0, 1),)","((0, 1),)",325,0,290,1,1,"((0, 1),)","((0, 1),)",425,290,0,1,1,"((0, 1),)","((0, 1),)",425,290,0,1,1,"((0, 1),)","((0, 1),)",325,0,290,1,1,"((0, 1),)","((0, 1),)"
