label,n,m00,m01,m10,m11,smith1,smith2,radius,batch,counter_first,counter_last_exclusive,samples,common_field_digest,primal_pivotal,matching_pivotal,primal_h4,matching_h4,h4_plus,h4_minus
n65_first,65,8,-1,1,8,1,65,2,0,26725300000,26725301000,1000,3778571105322041564,54,67,-11,-8,-19,-3
n65_second,65,7,-4,4,7,1,65,2,0,26725300000,26725301000,1000,3778571105322041564,60,72,-4,-6,-10,2
n130_first,130,11,-3,3,11,1,130,2,0,26725300000,26725301000,1000,11716904713389685305,36,39,-1,-6,-7,5
n130_second,130,9,-7,7,9,1,130,2,0,26725300000,26725301000,1000,11716904713389685305,44,45,-5,-7,-12,2
n260_first,260,16,-2,2,16,2,130,2,0,26725300000,26725301000,1000,15619669375559214338,28,29,-7,-2,-9,-5
n260_second,260,14,-8,8,14,2,130,2,0,26725300000,26725301000,1000,15619669375559214338,28,31,-4,-5,-9,1
n520_first,520,22,-6,6,22,2,260,2,0,26725300000,26725301000,1000,15712064949557533082,14,12,-4,-1,-5,-3
n520_second,520,18,-14,14,18,2,260,2,0,26725300000,26725301000,1000,15712064949557533082,22,23,-2,-3,-5,1
n85_first,85,9,-2,2,9,1,85,2,0,26725300000,26725301000,1000,968949760220986723,56,53,-8,-2,-10,-6
n85_second,85,7,-6,6,7,1,85,2,0,26725300000,26725301000,1000,968949760220986723,58,52,-5,-7,-12,2
n170_first,170,13,-1,1,13,1,170,2,0,26725300000,26725301000,1000,2743930622427854647,29,35,-4,-2,-6,-2
n170_second,170,11,-7,7,11,1,170,2,0,26725300000,26725301000,1000,2743930622427854647,44,39,-3,0,-3,-3
n340_first,340,18,-4,4,18,2,170,2,0,26725300000,26725301000,1000,11530507908804518367,23,32,-3,-2,-5,-1
n340_second,340,14,-12,12,14,2,170,2,0,26725300000,26725301000,1000,11530507908804518367,20,29,-2,-5,-7,3
n680_first,680,26,-2,2,26,2,340,2,0,26725300000,26725301000,1000,3341623812637877758,15,16,-3,-4,-7,1
n680_second,680,22,-14,14,22,2,340,2,0,26725300000,26725301000,1000,3341623812637877758,17,10,-1,0,-1,-1
n65_first,65,8,-1,1,8,1,65,2,1,26725301000,26725302000,1000,16723805587922678758,60,58,-5,2,-3,-7
n65_second,65,7,-4,4,7,1,65,2,1,26725301000,26725302000,1000,16723805587922678758,67,61,-12,-1,-13,-11
n130_first,130,11,-3,3,11,1,130,2,1,26725301000,26725302000,1000,13987305430733942722,45,44,-7,-3,-10,-4
n130_second,130,9,-7,7,9,1,130,2,1,26725301000,26725302000,1000,13987305430733942722,41,35,-8,-3,-11,-5
n260_first,260,16,-2,2,16,2,130,2,1,26725301000,26725302000,1000,6664367052247193002,16,26,-2,-2,-4,0
