batch,replica_first,samples,common_field_sha256,2omega_re,2omega_im,2omega_rank0,2omega_rank1,2omega_rank2,2omega_invalid
0,18000000000,20000,cde27d521856c36c8c9c7ff8fecd9ede8e93101cddac7738233c6d69b58aad7c,8755.069755590854,-35.2336360821262,5222,9632,5146,0
1,18000020000,20000,70c5bf126dcfe3bfd8f2e2e4cedf8b933a4d2e752f115cec35ea81f107e16bbb,8846.64422816724,24.083044982698944,5194,9703,5103,0
2,18000040000,20000,0035e655ee8a6ffff9387ff9831e6166599e4666147310907d80a8f756a2687d,8851.095392372266,35.35459921199139,5163,9679,5158,0
3,18000060000,20000,704b649b5295b8ffa936a24f47b5643596376bcef9f60351b1201e34439b0c65,8896.796399189472,-22.77688867728192,5078,9713,5209,0
4,18000080000,20000,6093f105ef7c2d4dc8ce5b28be95a4d3fe95b63f2133086888e49ac1c6bd203c,8824.796399189465,12.811490753406503,5182,9641,5177,0
5,18000100000,20000,6ff513d60d6bf8917fef78ff34a007912af0c962aa6fc12415e397415c5d3630,8903.458006507512,10.432958361269476,5142,9657,5201,0
6,18000120000,20000,b15dc9389261c3019f4c9d90e1335fa7ec6d43c3e2ab01fd3bd6eec9a1bd8721,8826.355537494555,-12.569564493676118,5202,9662,5136,0
7,18000140000,20000,5fc606f2ba5467ccf89b49fc825aefd6d509527677eb3be43a7a5ed4f7a5fd4b,8867.33556202568,9.489691445448024,5108,9654,5238,0
8,18000160000,20000,991364fd824bb87e29e05c04d632c39a15f4a54283281ae3b62290ae1506af28,8725.794905748611,-0.8304498269896153,5357,9568,5075,0
9,18000180000,20000,359f16d7698384e8535aca59c1a690c31574fa64b4968f58ac4639ea3b7722a6,8705.703681248,-7.474048442906569,5229,9548,5223,0
10,18000200000,20000,788222e2d0d06750c1631a1648e1f428b9f14fc86ee86c9a7834fbedb454eb26,8860.817868099226,34.048442906574365,5126,9700,5174,0
11,18000220000,20000,7d563abc74149fc590b2e294a8dc07e938bc8c12de127a1c456c82c353fe9c06,8808.084777411275,-31.557093425605512,5146,9651,5203,0
12,18000240000,20000,52ab51fbfc47d83cd0ed1436dc3072550139156ef07188a62c722fb3b3bc75f9,8710.733329675655,-31.79087364430253,5201,9660,5139,0
13,18000260000,20000,4556dcba8e49798ffed94c4aa31a06279293344edcb309d3845f60b273aa2a22,8742.705960528574,-7.151603498552079,5249,9600,5151,0
14,18000280000,20000,87a3e62c30fa4c8f2b887a1fa4dc14bef2acd3b247732e8643908843c9f5a286,8766.853807390751,-13.400014320665743,5318,9548,5134,0
15,18000300000,20000,2f94b578ccc9f3d028886077432f46c86ce8de5e31ce1126302e29dac80f8043,8879.587449517316,10.207324183605811,5169,9704,5127,0
16,18000320000,20000,80fb8a978ce78d445bf45a72fec4169dd57ecd791bc534e10401ae29eabd99cf,8838.731362908899,-0.8304498269896183,5155,9653,5192,0
17,18000340000,20000,99351400b52313de5127d10ff7d12473c8e15aa3a09fab4403e5e7692bcbe4a9,8742.085641300782,0.5966696082925922,5169,9626,5205,0
18,18000360000,20000,7478d80e133403bf413676ac7e0509d6de4636786a25b47c72dd248862a50ef9,8815.507078965438,-12.214821145113905,5147,9678,5175,0
19,18000380000,20000,d86cb22d7df895344fc96839f361f9cdb8ff89b51c71812108591925daf26330,8776.450300315497,7.111159053310997,5147,9607,5246,0
20,18000400000,20000,6c771f7fe1c4b1a950f03a27d8c8998dedfd6b72d2cafbbe36996aeb8ee92d63,8680.863480349517,-7.595011572771761,5149,9520,5331,0
