batch,replica_first,samples,common_field_sha256,2omega_re,2omega_im,2omega_rank0,2omega_rank1,2omega_rank2,2omega_invalid
0,17000000000,20000,22e5386a353c9a673c8e91d529918b35f4a2bd662f945385f4ce3096b8afd2eb,9247.809008726403,9.885859179104724,5072,9935,4993,0
1,17000020000,20000,45b6bf199f0abfd6a905e11047a0ea252ed4faab3d8b0a29eba258176b4f0677,9147.04188346327,-14.52296096175974,5110,9903,4987,0
2,17000040000,20000,3b544ecea9da3680735578fdcde8a61b9ab05416f013853a4e1192c3bf14d39c,9188.889733429029,3.499171597633138,4974,9919,5107,0
3,17000060000,20000,2d09511d1fc812db1836684dff28464f924fddc2cc2ab8d6cb24a446ad54fe12,9131.886607163067,-3.676927840679235,5053,9811,5136,0
4,17000080000,20000,80e3578a078250ea784c485b5cd781f6b4ba6ed3666b59f9196a492e9415d350,9228.421844845803,-13.488268962049034,5016,9928,5056,0
5,17000100000,20000,87d0b1517f758029b4d390c88c505b8bb3c3d04b09d6b1537c80fb3e7eaabc16,9224.453781196546,9.730426448184694,5082,9926,4992,0
6,17000120000,20000,d99dbc6b89eadfb9c934760afd87a787bebb4ab106a49faef7f3b1c393bfdc25,9044.719117240884,2.709759740792353,5110,9774,5116,0
7,17000140000,20000,c1cfbd188275cecfa5c27c6947b061fddf029e9e12b0d2243e2a1b2e2cb658a6,9244.641686091745,-0.6970366563621857,4973,9951,5076,0
8,17000160000,20000,141074e5db3c1bbbac8b6238aa3eb62faffdc36b776fcac0fc9c29ea031e752b,9153.881262061845,-4.025446168860331,5132,9886,4982,0
9,17000180000,20000,b43a0f8b9d2221fe3b86122a6651f11a587225851ebad1f545403b14afc6b8df,9172.789600442376,-9.53734085092363,5035,9906,5059,0
10,17000200000,20000,3d58be315e5dc2af38b6e6818aa658054bea39528db2e1b825eb171da5c05dda,9023.484437670682,-6.998343195266276,5077,9819,5104,0
11,17000220000,20000,80bc9ddf5471ecd4a34e27628391541cac5e1bee262cc9169534a4b61292c5f4,9168.682519508095,-2.1834851695651616,5023,9886,5091,0
12,17000240000,20000,92f2d0dd660e54dbb1a3942f37e92611e16553047745eb1ef716c38ce9492bba,9264.920325344274,-2.795140783359848,5103,9967,4930,0
13,17000260000,20000,a9e8320d2174a3ff5677289a8bfe2561d18badd30fc17a3e2b300a5a519658fe,9255.6588755405,7.87313609467456,4914,10020,5066,0
14,17000280000,20000,391ae81eec79ae2966ec14cc619b275206e14697e265da1c9606c80083718b50,9222.06306188121,-2.1834851695651594,5027,9973,5000,0
15,17000300000,20000,dcca0e082952b09b469f07d95e68590013d84703e30fe8202e313fd3079b2129,9217.86008364389,21.784441442639608,5163,9955,4882,0
16,17000320000,20000,1356f4a6fee7dc52e6573b14c612bf49bbdf9b6fe50f63dec78018f632f8a983,9181.97004412974,-26.67768635299712,5127,9924,4949,0
17,17000340000,20000,d223dc2666eb661988227dd47f727153f0461dc94143ed1ebb4e83df6f67df57,9169.454541171155,6.557449666606583,5023,9910,5067,0
18,17000360000,20000,a5dbd8666a73982196503cbd5ab865498791a9621a4212a83a4c970b0afc8648,9104.66422064172,12.076338506580985,5153,9816,5031,0
19,17000380000,20000,a70c395e412b4bef779a2444ba2b864c9cb1814d6b4b3cc79bdc09af460cf198,9153.11483221442,-11.898582263534887,4992,9871,5137,0
20,17000400000,20000,fbdd095288587c3d437464ebc538a5de5927beef40a6aa34e41c473c6800a289,9172.860083643893,14.786098247373335,5044,9910,5046,0
21,17000420000,20000,2b0181755284bfb91a81ece0299ce9232209bc19c5528ae8482fa974017fafbd,9256.344580685314,-1.1379301850218813,4996,9992,5012,0
22,17000440000,20000,25aefd46ec8c9c1bab4f7b74e8e2efa2279cd0ea3d72cb037b2d34cbc6fbd3ee,9178.443604254328,-28.953546723040876,5119,9963,4918,0
23,17000460000,20000,ef1c5147319125dc8f81aa52bd415a0163620646ef97b6bfe6e3217b1159a22a,9193.779772943184,15.746272189349115,5025,9919,5056,0
24,17000480000,20000,ac1a12aace03192c669c4077762292f99882756b864463e63b15866e8dd1d046,9105.363293553615,2.802134941270953,4967,9878,5155,0
25,17000500000,20000,9f8656e5b744edbfd25ba1e412de1f01d7991591d0a7a6c0c942622247f9a121,9173.24732725024,-41.64154084341655,4981,9901,5118,0
26,17000520000,20000,07f1a8fff9e2179613f1917a0e2303f4e1179041c198926aac445814a0e2ee00,8986.051464248068,-37.35295738894263,5223,9688,5089,0
27,17000540000,20000,d71582307eb2d5d3626d1467eb8cda8a054ae0159ac9216f5509ce12a0874c36,9297.916503662604,28.085747981543694,4986,10032,4982,0
28,17000560000,20000,b5d645762d196c406beb55c016e5fe970824c0435cc28659af7337ac3bb3059b,9096.869664428705,16.6210650887574,5175,9780,5045,0
29,17000580000,20000,2e278dc0ea0237c4b392707034d5b60f0a5419f27b180617cc479af9f66c7956,9140.457006720804,0.26313728561359406,5021,9839,5140,0
30,17000600000,20000,87bc27a0df7989250f15363cff7a619c4142d1ecd55001d2a3e09fda8c07b273,9182.500719688744,4.5517207400875215,4971,9881,5148,0
31,17000620000,20000,b4785ff63eab2f276d33c8ea414664b48f05f7a664b596e6e16a6fa52e106dbf,9117.979871628942,13.299649734170362,5046,9868,5086,0
32,17000640000,20000,c32ec7ebc0f96ecb1180f5dcb4f65cd0644a50a6fe9119ab0f1e94cc5635e57d,9139.817480093576,-4.637101782655019,5057,9825,5118,0
33,17000660000,20000,0eb110cacf8c7bbfbf6f16d06752dfe72ecb1b6a30b54de9968544cfbf49cc75,9311.206493833877,18.107513601960374,4999,10028,4973,0
34,17000680000,20000,3cd019bcbc907f9856d795c9ab75cfeb5111c5dc41a465b23e093bebf1413c28,9135.677174406885,-1.3086922701568753,5105,9906,4989,0
35,17000700000,20000,4d939d10652644284c0060f16bc353d5f3bf17e0b9b79fa164a9aae024cbad7d,9153.753082435354,13.715691962175274,5030,9878,5092,0
36,17000720000,20000,c9e73f4b09520a133521d6cee7bfbd13a89c41ff912a189f49e483b5e7504791,9151.4940184555,-29.657577537314165,5071,9893,5036,0
37,17000740000,20000,f3db0ac5ed67175517cc6c6baf4b820c48ee49e7d8fd5812e559eb068ced6201,9168.289270084226,-11.72082602048879,5115,9855,5030,0
38,17000760000,20000,96ad2ddf8f13cca6074a3f9ea880f725b2ffb35c5a3f5875d31465b18e1c9ed1,9259.162780865938,-6.649824867085181,5005,9976,5019,0
39,17000780000,20000,c686d67aaa9436cd8cad202d86c03c25bb2288325631784ae4d1a06b1eb51737,9186.758594525232,12.680999962464572,5024,9917,5059,0
40,17000800000,20000,7a55956c57dd213b7be0303c99d7c745bca40ec6284d0c7daa26cdfcb61bf041,9318.091188246814,7.26148048087987,4958,10083,4959,0
41,17000820000,20000,642f53805ab5904ac223b6eadae4b3a0f30e1d0fc33317fe99397bb55092757d,9180.939038212573,44.00278225602781,5131,9920,4949,0
42,17000840000,20000,25d4843752b3068e178a38334ef57cb93c63b1ebd5476ff165fa47118988b433,9275.351695920472,-12.595618919897074,4984,9999,5017,0
