batch,replica_first,samples,common_field_sha256,omega_plus_1_over_2_re,omega_plus_1_over_2_im,omega_plus_1_over_2_rank0,omega_plus_1_over_2_rank1,omega_plus_1_over_2_rank2,omega_plus_1_over_2_invalid
0,17004000000,20000,812b39141c97ad1f62e138e19a552d3955e32fa7970c2d496d2379919ed51181,-4282.772233616846,7781.3751917961445,5074,9701,5225,0
1,17004020000,20000,6705fec6ce5252132de75323ced3d7294c9ae00645b606f989456f8a7561b6d4,-4295.755423912011,7749.6624742823105,5141,9711,5148,0
2,17004040000,20000,3f9cd0c5c9a3dc7f3ebd756b9177632ceef733801e75a4abcb204c5373703972,-4324.99581167722,7805.615905969498,5148,9692,5160,0
3,17004060000,20000,9f64d1168be02755a212d5767f814e9e05f5c2c44249150634b74f281f79ecf8,-4328.951167627916,7760.471848334643,5114,9650,5236,0
4,17004080000,20000,6556fa62c8a1bf82234c3efc437c68c45a446a573317b998f3b10b4aa1fa79a7,-4279.943332979432,7720.3657371759955,5176,9637,5187,0
5,17004100000,20000,18eb2952b792d0491c6c9a56e3459a6a6e000cb3c7c3136b5a72159011752d7c,-4326.606304562206,7822.976915794487,5205,9695,5100,0
6,17004120000,20000,5053641e9c25cd5ff7330cadd659f7dab59e791a3f3ba553e0d02d90a97e18ca,-4332.877605459399,7844.938085490304,5093,9742,5165,0
7,17004140000,20000,55a3a068baca129ef22b1c7a99e491ada8c88b95cb2471622abb3c1ac7834996,-4315.571356706515,7859.277172259788,5127,9773,5100,0
8,17004160000,20000,5c589f24edcae16b35dbc8685181cb3071a74872f2f572804f81d46d34e91e01,-4359.455726151458,7840.117545389346,5110,9764,5126,0
9,17004180000,20000,28a59465555631e7e9d827ef17ec7733e0a1a83b467a8d0b804c415cf4e6c2c8,-4313.888705351708,7786.492404576813,5110,9734,5156,0
10,17004200000,20000,96cfefe51888b353f249aa733e11508297418499bd6a20aa2c24177928a99287,-4262.182206882626,7631.204314048911,5209,9546,5245,0
11,17004220000,20000,4d5aeeedadbd94cd3adb8b8e082be47ed277627d7bf73874cd6331e4be6cf026,-4394.165705160665,7922.641933015027,5147,9828,5025,0
12,17004240000,20000,ed8c3c0598dbc43575755e83432c052b17c8c6b8af2ac7d05f6cb79b8e2ba608,-4280.856636669581,7711.123230291294,5159,9678,5163,0
