n,a,b,orientation,batch,samples,endpoint_failures,site_failures,line_failures,local_mark_failures,index_mismatches
425,16,13,first,0,20000,0,0,0,0,0
425,19,8,second,0,20000,0,0,0,0,0
425,16,13,first,1,20000,0,0,0,0,0
425,19,8,second,1,20000,0,0,0,0,0
425,16,13,first,2,20000,0,0,0,0,0
425,19,8,second,2,20000,0,0,0,0,0
425,16,13,first,3,20000,0,0,0,0,0
425,19,8,second,3,20000,0,0,0,0,0
425,16,13,first,4,20000,0,0,0,0,0
425,19,8,second,4,20000,0,0,0,0,0
425,16,13,first,5,20000,0,0,0,0,0
425,19,8,second,5,20000,0,0,0,0,0
425,16,13,first,6,20000,0,0,0,0,0
425,19,8,second,6,20000,0,0,0,0,0
425,16,13,first,7,20000,0,0,0,0,0
425,19,8,second,7,20000,0,0,0,0,0
425,16,13,first,8,20000,0,0,0,0,0
425,19,8,second,8,20000,0,0,0,0,0
425,16,13,first,9,20000,0,0,0,0,0
425,19,8,second,9,20000,0,0,0,0,0
425,16,13,first,10,20000,0,0,0,0,0
425,19,8,second,10,20000,0,0,0,0,0
425,16,13,first,11,20000,0,0,0,0,0
425,19,8,second,11,20000,0,0,0,0,0
425,16,13,first,12,20000,0,0,0,0,0
425,19,8,second,12,20000,0,0,0,0,0
425,16,13,first,13,20000,0,0,0,0,0
425,19,8,second,13,20000,0,0,0,0,0
425,16,13,first,14,20000,0,0,0,0,0
425,19,8,second,14,20000,0,0,0,0,0
425,16,13,first,15,20000,0,0,0,0,0
425,19,8,second,15,20000,0,0,0,0,0
425,16,13,first,16,20000,0,0,0,0,0
425,19,8,second,16,20000,0,0,0,0,0
425,16,13,first,17,20000,0,0,0,0,0
425,19,8,second,17,20000,0,0,0,0,0
425,16,13,first,18,20000,0,0,0,0,0
425,19,8,second,18,20000,0,0,0,0,0
425,16,13,first,19,20000,0,0,0,0,0
425,19,8,second,19,20000,0,0,0,0,0
425,16,13,first,20,20000,0,0,0,0,0
425,19,8,second,20,20000,0,0,0,0,0
425,16,13,first,21,20000,0,0,0,0,0
425,19,8,second,21,20000,0,0,0,0,0
425,16,13,first,22,20000,0,0,0,0,0
425,19,8,second,22,20000,0,0,0,0,0
425,16,13,first,23,20000,0,0,0,0,0
425,19,8,second,23,20000,0,0,0,0,0
425,16,13,first,24,20000,0,0,0,0,0
425,19,8,second,24,20000,0,0,0,0,0
425,16,13,first,25,20000,0,0,0,0,0
425,19,8,second,25,20000,0,0,0,0,0
425,16,13,first,26,20000,0,0,0,0,0
425,19,8,second,26,20000,0,0,0,0,0
425,16,13,first,27,20000,0,0,0,0,0
425,19,8,second,27,20000,0,0,0,0,0
425,16,13,first,28,20000,0,0,0,0,0
425,19,8,second,28,20000,0,0,0,0,0
425,16,13,first,29,20000,0,0,0,0,0
425,19,8,second,29,20000,0,0,0,0,0
425,16,13,first,30,20000,0,0,0,0,0
425,19,8,second,30,20000,0,0,0,0,0
425,16,13,first,31,20000,0,0,0,0,0
425,19,8,second,31,20000,0,0,0,0,0
425,16,13,first,32,20000,0,0,0,0,0
425,19,8,second,32,20000,0,0,0,0,0
425,16,13,first,33,20000,0,0,0,0,0
425,19,8,second,33,20000,0,0,0,0,0
425,16,13,first,34,20000,0,0,0,0,0
425,19,8,second,34,20000,0,0,0,0,0
425,16,13,first,35,20000,0,0,0,0,0
425,19,8,second,35,20000,0,0,0,0,0
425,16,13,first,36,20000,0,0,0,0,0
425,19,8,second,36,20000,0,0,0,0,0
425,16,13,first,37,20000,0,0,0,0,0
425,19,8,second,37,20000,0,0,0,0,0
425,16,13,first,38,20000,0,0,0,0,0
425,19,8,second,38,20000,0,0,0,0,0
425,16,13,first,39,20000,0,0,0,0,0
425,19,8,second,39,20000,0,0,0,0,0
425,16,13,first,40,20000,0,0,0,0,0
425,19,8,second,40,20000,0,0,0,0,0
425,16,13,first,41,20000,0,0,0,0,0
425,19,8,second,41,20000,0,0,0,0,0
425,16,13,first,42,20000,0,0,0,0,0
425,19,8,second,42,20000,0,0,0,0,0
425,16,13,first,43,20000,0,0,0,0,0
425,19,8,second,43,20000,0,0,0,0,0
425,16,13,first,44,20000,0,0,0,0,0
425,19,8,second,44,20000,0,0,0,0,0
425,16,13,first,45,20000,0,0,0,0,0
425,19,8,second,45,20000,0,0,0,0,0
425,16,13,first,46,20000,0,0,0,0,0
425,19,8,second,46,20000,0,0,0,0,0
425,16,13,first,47,20000,0,0,0,0,0
425,19,8,second,47,20000,0,0,0,0,0
425,16,13,first,48,20000,0,0,0,0,0
425,19,8,second,48,20000,0,0,0,0,0
425,16,13,first,49,20000,0,0,0,0,0
425,19,8,second,49,20000,0,0,0,0,0
425,16,13,first,50,20000,0,0,0,0,0
425,19,8,second,50,20000,0,0,0,0,0
425,16,13,first,51,20000,0,0,0,0,0
425,19,8,second,51,20000,0,0,0,0,0
425,16,13,first,52,20000,0,0,0,0,0
425,19,8,second,52,20000,0,0,0,0,0
425,16,13,first,53,20000,0,0,0,0,0
425,19,8,second,53,20000,0,0,0,0,0
425,16,13,first,54,20000,0,0,0,0,0
425,19,8,second,54,20000,0,0,0,0,0
425,16,13,first,55,20000,0,0,0,0,0
425,19,8,second,55,20000,0,0,0,0,0
425,16,13,first,56,20000,0,0,0,0,0
425,19,8,second,56,20000,0,0,0,0,0
425,16,13,first,57,20000,0,0,0,0,0
425,19,8,second,57,20000,0,0,0,0,0
425,16,13,first,58,20000,0,0,0,0,0
425,19,8,second,58,20000,0,0,0,0,0
425,16,13,first,59,20000,0,0,0,0,0
425,19,8,second,59,20000,0,0,0,0,0
425,16,13,first,60,20000,0,0,0,0,0
425,19,8,second,60,20000,0,0,0,0,0
425,16,13,first,61,20000,0,0,0,0,0
425,19,8,second,61,20000,0,0,0,0,0
425,16,13,first,62,20000,0,0,0,0,0
425,19,8,second,62,20000,0,0,0,0,0
425,16,13,first,63,20000,0,0,0,0,0
425,19,8,second,63,20000,0,0,0,0,0
425,16,13,first,64,20000,0,0,0,0,0
425,19,8,second,64,20000,0,0,0,0,0
425,16,13,first,65,20000,0,0,0,0,0
425,19,8,second,65,20000,0,0,0,0,0
425,16,13,first,66,20000,0,0,0,0,0
425,19,8,second,66,20000,0,0,0,0,0
425,16,13,first,67,20000,0,0,0,0,0
425,19,8,second,67,20000,0,0,0,0,0
425,16,13,first,68,20000,0,0,0,0,0
425,19,8,second,68,20000,0,0,0,0,0
425,16,13,first,69,20000,0,0,0,0,0
425,19,8,second,69,20000,0,0,0,0,0
425,16,13,first,70,20000,0,0,0,0,0
425,19,8,second,70,20000,0,0,0,0,0
425,16,13,first,71,20000,0,0,0,0,0
425,19,8,second,71,20000,0,0,0,0,0
425,16,13,first,72,20000,0,0,0,0,0
425,19,8,second,72,20000,0,0,0,0,0
425,16,13,first,73,20000,0,0,0,0,0
425,19,8,second,73,20000,0,0,0,0,0
425,16,13,first,74,20000,0,0,0,0,0
425,19,8,second,74,20000,0,0,0,0,0
425,16,13,first,75,20000,0,0,0,0,0
425,19,8,second,75,20000,0,0,0,0,0
425,16,13,first,76,20000,0,0,0,0,0
425,19,8,second,76,20000,0,0,0,0,0
425,16,13,first,77,20000,0,0,0,0,0
425,19,8,second,77,20000,0,0,0,0,0
425,16,13,first,78,20000,0,0,0,0,0
425,19,8,second,78,20000,0,0,0,0,0
425,16,13,first,79,20000,0,0,0,0,0
425,19,8,second,79,20000,0,0,0,0,0
425,16,13,first,80,20000,0,0,0,0,0
425,19,8,second,80,20000,0,0,0,0,0
425,16,13,first,81,20000,0,0,0,0,0
425,19,8,second,81,20000,0,0,0,0,0
425,16,13,first,82,20000,0,0,0,0,0
425,19,8,second,82,20000,0,0,0,0,0
425,16,13,first,83,20000,0,0,0,0,0
425,19,8,second,83,20000,0,0,0,0,0
425,16,13,first,84,20000,0,0,0,0,0
425,19,8,second,84,20000,0,0,0,0,0
425,16,13,first,85,20000,0,0,0,0,0
425,19,8,second,85,20000,0,0,0,0,0
425,16,13,first,86,20000,0,0,0,0,0
425,19,8,second,86,20000,0,0,0,0,0
425,16,13,first,87,20000,0,0,0,0,0
425,19,8,second,87,20000,0,0,0,0,0
425,16,13,first,88,20000,0,0,0,0,0
425,19,8,second,88,20000,0,0,0,0,0
425,16,13,first,89,20000,0,0,0,0,0
425,19,8,second,89,20000,0,0,0,0,0
425,16,13,first,90,20000,0,0,0,0,0
425,19,8,second,90,20000,0,0,0,0,0
425,16,13,first,91,20000,0,0,0,0,0
425,19,8,second,91,20000,0,0,0,0,0
425,16,13,first,92,20000,0,0,0,0,0
425,19,8,second,92,20000,0,0,0,0,0
425,16,13,first,93,20000,0,0,0,0,0
425,19,8,second,93,20000,0,0,0,0,0
425,16,13,first,94,20000,0,0,0,0,0
425,19,8,second,94,20000,0,0,0,0,0
425,16,13,first,95,20000,0,0,0,0,0
425,19,8,second,95,20000,0,0,0,0,0
425,16,13,first,96,20000,0,0,0,0,0
425,19,8,second,96,20000,0,0,0,0,0
425,16,13,first,97,20000,0,0,0,0,0
425,19,8,second,97,20000,0,0,0,0,0
425,16,13,first,98,20000,0,0,0,0,0
425,19,8,second,98,20000,0,0,0,0,0
425,16,13,first,99,20000,0,0,0,0,0
425,19,8,second,99,20000,0,0,0,0,0
