n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
425,16,13,first,0,20000,4861247,5228277,1186345047,1371297727,1273198246,367030,11246282
425,19,8,second,0,20000,4859785,5228935,1185638281,1371557575,1272887264,369150,11421328
425,16,13,first,1,20000,4860759,5232886,1186238923,1373778650,1274177705,372127,11662163
425,19,8,second,1,20000,4858375,5229510,1185019707,1371997296,1272746132,371135,11524739
425,16,13,first,2,20000,4861927,5229281,1186750099,1371815187,1273605693,367354,11353900
425,19,8,second,2,20000,4861528,5237308,1186664404,1376137916,1275533044,375780,11736232
425,16,13,first,3,20000,4862432,5232251,1187003976,1373419661,1274468069,369819,11487499
425,19,8,second,3,20000,4862086,5229852,1186734172,1372053852,1273744952,367766,11298120
425,16,13,first,4,20000,4862941,5232925,1187347853,1373812631,1274798463,369984,11563558
425,19,8,second,4,20000,4856248,5227414,1183943950,1370852014,1271675955,371166,11444054
425,16,13,first,5,20000,4857331,5227136,1184561823,1370718266,1271931920,369805,11416249
425,19,8,second,5,20000,4861361,5230940,1186511473,1372810280,1273956004,369579,11409745
425,16,13,first,6,20000,4861632,5231754,1186607278,1373134472,1274167453,370122,11406844
425,19,8,second,6,20000,4859049,5229488,1185288847,1371863188,1272861161,370439,11429713
425,16,13,first,7,20000,4859650,5230581,1185667652,1372545943,1273354273,370931,11505049
425,19,8,second,7,20000,4862360,5231123,1186991240,1372730491,1274158920,368763,11403891
425,16,13,first,8,20000,4859871,5233627,1185850503,1374086753,1274125111,373756,11687034
425,19,8,second,8,20000,4859024,5233357,1185333414,1373903433,1273734357,374333,11768133
425,16,13,first,9,20000,4861929,5233927,1186708807,1374281521,1274735242,371998,11519844
425,19,8,second,9,20000,4862927,5227424,1187252231,1370854192,1273468028,364497,11170367
425,16,13,first,10,20000,4860279,5231619,1185914401,1372971525,1273680862,371340,11524202
425,19,8,second,10,20000,4859198,5229188,1185401998,1371725320,1272861214,369990,11404890
425,16,13,first,11,20000,4864407,5228373,1187955847,1371317305,1274065206,363966,11142740
425,19,8,second,11,20000,4857872,5227097,1184804420,1370733153,1272071463,369225,11394647
425,16,13,first,12,20000,4857530,5229484,1184617928,1371885264,1272447199,371954,11608794
425,19,8,second,12,20000,4859223,5230032,1185390505,1372292178,1273098849,370809,11484985
425,16,13,first,13,20000,4857643,5229089,1184666825,1371692973,1272427153,371446,11505492
425,19,8,second,13,20000,4863108,5229257,1187335158,1371789605,1273957036,366149,11210691
425,16,13,first,14,20000,4862496,5236683,1187003930,1375679757,1275493050,374187,11697587
425,19,8,second,14,20000,4862211,5230834,1186843247,1372684730,1274054496,368623,11418985
425,16,13,first,15,20000,4856632,5227350,1184219978,1370809234,1271783617,370718,11461978
425,19,8,second,15,20000,4861923,5230269,1186627925,1372351969,1273810554,368346,11358786
425,16,13,first,16,20000,4860755,5231021,1186213343,1372742135,1273729267,370266,11496944
425,19,8,second,16,20000,4859148,5230954,1185319930,1372671696,1273177489,371806,11636648
425,16,13,first,17,20000,4860348,5229223,1185985624,1371801953,1273204548,368875,11378481
425,19,8,second,17,20000,4855657,5228258,1183652997,1371357964,1271690159,372601,11630643
425,16,13,first,18,20000,4858441,5228888,1185063975,1371639164,1272591880,370447,11519379
425,19,8,second,18,20000,4858552,5227285,1185128640,1370742675,1272258482,368733,11354351
425,16,13,first,19,20000,4863059,5234516,1187205337,1374564348,1275119331,371457,11531023
425,19,8,second,19,20000,4860281,5233958,1185971395,1374290578,1274296022,373677,11669929
425,16,13,first,20,20000,4859997,5232164,1185830301,1373375672,1273809238,372167,11587497
