n,a,b,orientation,batch,samples,endpoint_failures,site_failures,line_failures,local_mark_failures,index_mismatches,separated_mark_failures
325,17,6,first,0,20000,0,0,0,0,0,0
325,18,1,second,0,20000,0,0,0,0,0,0
325,17,6,first,1,20000,0,0,0,0,0,0
325,18,1,second,1,20000,0,0,0,0,0,0
325,17,6,first,2,20000,0,0,0,0,0,0
325,18,1,second,2,20000,0,0,0,0,0,0
325,17,6,first,3,20000,0,0,0,0,0,0
325,18,1,second,3,20000,0,0,0,0,0,0
325,17,6,first,4,20000,0,0,0,0,0,0
325,18,1,second,4,20000,0,0,0,0,0,0
325,17,6,first,5,20000,0,0,0,0,0,0
325,18,1,second,5,20000,0,0,0,0,0,0
325,17,6,first,6,20000,0,0,0,0,0,0
325,18,1,second,6,20000,0,0,0,0,0,0
325,17,6,first,7,20000,0,0,0,0,0,0
325,18,1,second,7,20000,0,0,0,0,0,0
325,17,6,first,8,20000,0,0,0,0,0,0
325,18,1,second,8,20000,0,0,0,0,0,0
325,17,6,first,9,20000,0,0,0,0,0,0
325,18,1,second,9,20000,0,0,0,0,0,0
325,17,6,first,10,20000,0,0,0,0,0,0
325,18,1,second,10,20000,0,0,0,0,0,0
325,17,6,first,11,20000,0,0,0,0,0,0
325,18,1,second,11,20000,0,0,0,0,0,0
325,17,6,first,12,20000,0,0,0,0,0,0
325,18,1,second,12,20000,0,0,0,0,0,0
325,17,6,first,13,20000,0,0,0,0,0,0
325,18,1,second,13,20000,0,0,0,0,0,0
325,17,6,first,14,20000,0,0,0,0,0,0
325,18,1,second,14,20000,0,0,0,0,0,0
325,17,6,first,15,20000,0,0,0,0,0,0
325,18,1,second,15,20000,0,0,0,0,0,0
325,17,6,first,16,20000,0,0,0,0,0,0
325,18,1,second,16,20000,0,0,0,0,0,0
325,17,6,first,17,20000,0,0,0,0,0,0
325,18,1,second,17,20000,0,0,0,0,0,0
325,17,6,first,18,20000,0,0,0,0,0,0
325,18,1,second,18,20000,0,0,0,0,0,0
325,17,6,first,19,20000,0,0,0,0,0,0
325,18,1,second,19,20000,0,0,0,0,0,0
325,17,6,first,20,20000,0,0,0,0,0,0
325,18,1,second,20,20000,0,0,0,0,0,0
325,17,6,first,21,20000,0,0,0,0,0,0
325,18,1,second,21,20000,0,0,0,0,0,0
325,17,6,first,22,20000,0,0,0,0,0,0
325,18,1,second,22,20000,0,0,0,0,0,0
325,17,6,first,23,20000,0,0,0,0,0,0
325,18,1,second,23,20000,0,0,0,0,0,0
325,17,6,first,24,20000,0,0,0,0,0,0
325,18,1,second,24,20000,0,0,0,0,0,0
325,17,6,first,25,20000,0,0,0,0,0,0
325,18,1,second,25,20000,0,0,0,0,0,0
325,17,6,first,26,20000,0,0,0,0,0,0
325,18,1,second,26,20000,0,0,0,0,0,0
325,17,6,first,27,20000,0,0,0,0,0,0
325,18,1,second,27,20000,0,0,0,0,0,0
325,17,6,first,28,20000,0,0,0,0,0,0
325,18,1,second,28,20000,0,0,0,0,0,0
325,17,6,first,29,20000,0,0,0,0,0,0
325,18,1,second,29,20000,0,0,0,0,0,0
325,17,6,first,30,20000,0,0,0,0,0,0
325,18,1,second,30,20000,0,0,0,0,0,0
325,17,6,first,31,20000,0,0,0,0,0,0
325,18,1,second,31,20000,0,0,0,0,0,0
325,17,6,first,32,20000,0,0,0,0,0,0
325,18,1,second,32,20000,0,0,0,0,0,0
325,17,6,first,33,20000,0,0,0,0,0,0
325,18,1,second,33,20000,0,0,0,0,0,0
325,17,6,first,34,20000,0,0,0,0,0,0
325,18,1,second,34,20000,0,0,0,0,0,0
325,17,6,first,35,20000,0,0,0,0,0,0
325,18,1,second,35,20000,0,0,0,0,0,0
325,17,6,first,36,20000,0,0,0,0,0,0
325,18,1,second,36,20000,0,0,0,0,0,0
325,17,6,first,37,20000,0,0,0,0,0,0
325,18,1,second,37,20000,0,0,0,0,0,0
325,17,6,first,38,20000,0,0,0,0,0,0
325,18,1,second,38,20000,0,0,0,0,0,0
325,17,6,first,39,20000,0,0,0,0,0,0
325,18,1,second,39,20000,0,0,0,0,0,0
325,17,6,first,40,20000,0,0,0,0,0,0
325,18,1,second,40,20000,0,0,0,0,0,0
325,17,6,first,41,20000,0,0,0,0,0,0
325,18,1,second,41,20000,0,0,0,0,0,0
325,17,6,first,42,20000,0,0,0,0,0,0
325,18,1,second,42,20000,0,0,0,0,0,0
325,17,6,first,43,20000,0,0,0,0,0,0
325,18,1,second,43,20000,0,0,0,0,0,0
325,17,6,first,44,20000,0,0,0,0,0,0
325,18,1,second,44,20000,0,0,0,0,0,0
325,17,6,first,45,20000,0,0,0,0,0,0
325,18,1,second,45,20000,0,0,0,0,0,0
325,17,6,first,46,20000,0,0,0,0,0,0
325,18,1,second,46,20000,0,0,0,0,0,0
325,17,6,first,47,20000,0,0,0,0,0,0
325,18,1,second,47,20000,0,0,0,0,0,0
325,17,6,first,48,20000,0,0,0,0,0,0
325,18,1,second,48,20000,0,0,0,0,0,0
325,17,6,first,49,20000,0,0,0,0,0,0
325,18,1,second,49,20000,0,0,0,0,0,0
325,17,6,first,50,20000,0,0,0,0,0,0
325,18,1,second,50,20000,0,0,0,0,0,0
325,17,6,first,51,20000,0,0,0,0,0,0
325,18,1,second,51,20000,0,0,0,0,0,0
325,17,6,first,52,20000,0,0,0,0,0,0
325,18,1,second,52,20000,0,0,0,0,0,0
325,17,6,first,53,20000,0,0,0,0,0,0
325,18,1,second,53,20000,0,0,0,0,0,0
325,17,6,first,54,20000,0,0,0,0,0,0
325,18,1,second,54,20000,0,0,0,0,0,0
325,17,6,first,55,20000,0,0,0,0,0,0
325,18,1,second,55,20000,0,0,0,0,0,0
325,17,6,first,56,20000,0,0,0,0,0,0
325,18,1,second,56,20000,0,0,0,0,0,0
325,17,6,first,57,20000,0,0,0,0,0,0
325,18,1,second,57,20000,0,0,0,0,0,0
325,17,6,first,58,20000,0,0,0,0,0,0
325,18,1,second,58,20000,0,0,0,0,0,0
325,17,6,first,59,20000,0,0,0,0,0,0
325,18,1,second,59,20000,0,0,0,0,0,0
325,17,6,first,60,20000,0,0,0,0,0,0
325,18,1,second,60,20000,0,0,0,0,0,0
325,17,6,first,61,20000,0,0,0,0,0,0
325,18,1,second,61,20000,0,0,0,0,0,0
325,17,6,first,62,20000,0,0,0,0,0,0
325,18,1,second,62,20000,0,0,0,0,0,0
325,17,6,first,63,20000,0,0,0,0,0,0
325,18,1,second,63,20000,0,0,0,0,0,0
325,17,6,first,64,20000,0,0,0,0,0,0
325,18,1,second,64,20000,0,0,0,0,0,0
325,17,6,first,65,20000,0,0,0,0,0,0
325,18,1,second,65,20000,0,0,0,0,0,0
325,17,6,first,66,20000,0,0,0,0,0,0
325,18,1,second,66,20000,0,0,0,0,0,0
325,17,6,first,67,20000,0,0,0,0,0,0
325,18,1,second,67,20000,0,0,0,0,0,0
325,17,6,first,68,20000,0,0,0,0,0,0
325,18,1,second,68,20000,0,0,0,0,0,0
325,17,6,first,69,20000,0,0,0,0,0,0
325,18,1,second,69,20000,0,0,0,0,0,0
325,17,6,first,70,20000,0,0,0,0,0,0
325,18,1,second,70,20000,0,0,0,0,0,0
325,17,6,first,71,20000,0,0,0,0,0,0
325,18,1,second,71,20000,0,0,0,0,0,0
325,17,6,first,72,20000,0,0,0,0,0,0
325,18,1,second,72,20000,0,0,0,0,0,0
325,17,6,first,73,20000,0,0,0,0,0,0
325,18,1,second,73,20000,0,0,0,0,0,0
325,17,6,first,74,20000,0,0,0,0,0,0
325,18,1,second,74,20000,0,0,0,0,0,0
325,17,6,first,75,20000,0,0,0,0,0,0
325,18,1,second,75,20000,0,0,0,0,0,0
325,17,6,first,76,20000,0,0,0,0,0,0
325,18,1,second,76,20000,0,0,0,0,0,0
325,17,6,first,77,20000,0,0,0,0,0,0
325,18,1,second,77,20000,0,0,0,0,0,0
325,17,6,first,78,20000,0,0,0,0,0,0
325,18,1,second,78,20000,0,0,0,0,0,0
325,17,6,first,79,20000,0,0,0,0,0,0
325,18,1,second,79,20000,0,0,0,0,0,0
325,17,6,first,80,20000,0,0,0,0,0,0
325,18,1,second,80,20000,0,0,0,0,0,0
325,17,6,first,81,20000,0,0,0,0,0,0
