n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
170,11,7,first,0,100000,9600005,10632744,928344857,1136805570,1023828377,1032739,17493673
170,13,1,second,0,100000,9598209,10634764,928173745,1137202376,1023860886,1036555,17654349
170,11,7,first,1,100000,9603353,10637771,929043069,1137887669,1024713977,1034418,17502784
170,13,1,second,1,100000,9598245,10630794,928069775,1136373872,1023460790,1032549,17522067
170,11,7,first,2,100000,9596478,10634706,927741262,1137270168,1023624270,1038228,17762890
170,13,1,second,2,100000,9597079,10629432,927861401,1136013930,1023194974,1032353,17485383
170,11,7,first,3,100000,9604481,10634331,929201781,1137199701,1024480429,1029850,17440624
170,13,1,second,3,100000,9593272,10630150,927144500,1136217248,1022888194,1036878,17585360
170,11,7,first,4,100000,9599561,10633793,928286385,1137058063,1023885377,1034232,17573694
170,13,1,second,4,100000,9600479,10636068,928557285,1137503214,1024246346,1035589,17567807
170,11,7,first,5,100000,9597359,10629691,927861913,1136191581,1023278843,1032332,17495808
170,13,1,second,5,100000,9596558,10636465,927821776,1137597445,1023837641,1039907,17743939
170,11,7,first,6,100000,9600222,10634078,928418688,1137068240,1023983684,1033856,17519560
170,13,1,second,6,100000,9599229,10628461,928286965,1135840087,1023367473,1029232,17392106
170,11,7,first,7,100000,9602583,10631947,928843039,1136637913,1024026175,1029364,17428602
170,13,1,second,7,100000,9597471,10630860,927979993,1136394060,1023412275,1033389,17549503
170,11,7,first,8,100000,9600149,10632024,928408377,1136689458,1023828594,1031875,17440647
170,13,1,second,8,100000,9596399,10632494,927732165,1136741908,1023389022,1036095,17696029
170,11,7,first,9,100000,9599518,10630690,928248840,1136397024,1023635387,1031172,17375090
170,13,1,second,9,100000,9600137,10633256,928459471,1136892586,1023892559,1033119,17566939
170,11,7,first,10,100000,9600976,10634222,928578362,1137177490,1024117934,1033246,17519984
170,13,1,second,10,100000,9598271,10635356,928132435,1137293690,1023879728,1037085,17666669
170,11,7,first,11,100000,9601337,10635845,928616691,1137470655,1024281157,1034508,17525032
170,13,1,second,11,100000,9601623,10633472,928745911,1136939244,1024084881,1031849,17515393
170,11,7,first,12,100000,9601091,10628774,928528995,1135963608,1023558202,1027683,17376199
170,13,1,second,12,100000,9592763,10633088,927065187,1136838300,1023105451,1040325,17692585
170,11,7,first,13,100000,9597599,10632353,927906277,1136713029,1023548790,1034754,17521726
170,13,1,second,13,100000,9600260,10635130,928441122,1137284112,1024068717,1034870,17587800
170,11,7,first,14,100000,9598110,10632347,928075316,1136766945,1023630186,1034237,17581889
170,13,1,second,14,100000,9602291,10633662,928850123,1136932908,1024158028,1031371,17466975
170,11,7,first,15,100000,9597536,10631504,927936176,1136543716,1023466059,1033968,17547774
170,13,1,second,15,100000,9595011,10633053,927452287,1136811551,1023303027,1038042,17657784
170,11,7,first,16,100000,9599156,10635289,928173644,1137390225,1023999257,1036133,17565355
170,13,1,second,16,100000,9598980,10629747,928219756,1136113955,1023445848,1030767,17442015
170,11,7,first,17,100000,9605362,10636344,929420208,1137591716,1024777218,1030982,17457488
170,13,1,second,17,100000,9597859,10629560,928021177,1136101548,1023325077,1031701,17472571
170,11,7,first,18,100000,9596061,10632359,927634289,1136747075,1023372685,1036298,17635994
170,13,1,second,18,100000,9594385,10629207,927400051,1136056033,1022966264,1034822,17523556
170,11,7,first,19,100000,9605783,10637092,929454149,1137761684,1024896887,1031309,17422059
170,13,1,second,19,100000,9598813,10630861,928201577,1136390895,1023532941,1032048,17526590
170,11,7,first,20,100000,9602824,10633966,928887904,1137114108,1024259406,1031142,17483200
170,13,1,second,20,100000,9597788,10633474,928101590,1136926858,1023707299,1035686,17613850
170,11,7,first,21,100000,9603124,10634416,929011698,1137195978,1024367956,1031292,17471764
170,13,1,second,21,100000,9598738,10632166,928190524,1136675962,1023692907,1033428,17480672
170,11,7,first,22,100000,9599885,10634105,928323947,1137085699,1023947530,1034220,17514586
170,13,1,second,22,100000,9594071,10626956,927353797,1135567298,1022693658,1032885,17533779
170,11,7,first,23,100000,9604849,10636157,929311471,1137514541,1024692001,1031308,17442010
170,13,1,second,23,100000,9597794,10629939,927990442,1136205069,1023375131,1032145,17445249
170,11,7,first,24,100000,9595185,10631352,927463263,1136523780,1023198481,1036167,17590081
170,13,1,second,24,100000,9597619,10632570,928028043,1136749944,1023579274,1034951,17619439
170,11,7,first,25,100000,9597935,10632165,927985821,1136665411,1023558878,1034230,17533476
170,13,1,second,25,100000,9597687,10632347,927954727,1136674597,1023538728,1034660,17551868
170,11,7,first,26,100000,9596297,10633297,927694949,1136982879,1023532858,1037000,17612112
170,13,1,second,26,100000,9595728,10629206,927629312,1135994958,1023101654,1033478,17420962
170,11,7,first,27,100000,9600191,10635547,928435357,1137403459,1024111538,1035356,17615740
170,13,1,second,27,100000,9599643,10634103,928386333,1137061501,1023904820,1034460,17638194
170,11,7,first,28,100000,9597940,10632835,928024958,1136836485,1023648516,1034895,17564411
170,13,1,second,28,100000,9597427,10632199,927975977,1136597551,1023489382,1034772,17594764
170,11,7,first,29,100000,9600077,10630698,928391407,1136373596,1023658310,1030621,17448383
170,13,1,second,29,100000,9595846,10628022,927627900,1135802270,1022982176,1032176,17465818
170,11,7,first,30,100000,9599740,10633625,928342458,1137040763,1023939011,1033885,17505199
170,13,1,second,30,100000,9595904,10631798,927699754,1136633532,1023379990,1035894,17573306
170,11,7,first,31,100000,9602363,10636168,928812469,1137573578,1024436057,1033805,17513933
170,13,1,second,31,100000,9598185,10634289,928120065,1137130361,1023825167,1036104,17600092
170,11,7,first,32,100000,9602439,10631914,928830279,1136691122,1024039841,1029475,17441719
170,13,1,second,32,100000,9597110,10629461,927876254,1136065459,1023211320,1032351,17519073
170,11,7,first,33,100000,9599321,10631365,928213731,1136500279,1023615242,1032044,17483526
170,13,1,second,33,100000,9594497,10631349,927378901,1136442523,1023104497,1036852,17612430
170,11,7,first,34,100000,9598038,10635255,927998686,1137367393,1023884819,1037217,17596441
170,13,1,second,34,100000,9597977,10631280,928033765,1136464264,1023480768,1033303,17536493
170,11,7,first,35,100000,9601402,10630810,928582682,1136398478,1023797616,1029408,17385928
170,13,1,second,35,100000,9596819,10628885,927837185,1135929817,1023161216,1032066,17444570
