n,a,b,orientation,batch,samples,endpoint_failures,site_failures,line_failures,local_mark_failures,index_mismatches,separated_mark_failures
325,17,6,first,0,1000,0,0,0,0,0,0
325,18,1,second,0,1000,0,0,0,0,0,0
325,17,6,first,1,1000,0,0,0,0,0,0
325,18,1,second,1,1000,0,0,0,0,0,0
325,17,6,first,2,1000,0,0,0,0,0,0
325,18,1,second,2,1000,0,0,0,0,0,0
325,17,6,first,3,1000,0,0,0,0,0,0
325,18,1,second,3,1000,0,0,0,0,0,0
325,17,6,first,4,1000,0,0,0,0,0,0
325,18,1,second,4,1000,0,0,0,0,0,0
325,17,6,first,5,1000,0,0,0,0,0,0
325,18,1,second,5,1000,0,0,0,0,0,0
325,17,6,first,6,1000,0,0,0,0,0,0
325,18,1,second,6,1000,0,0,0,0,0,0
325,17,6,first,7,1000,0,0,0,0,0,0
325,18,1,second,7,1000,0,0,0,0,0,0
325,17,6,first,8,1000,0,0,0,0,0,0
325,18,1,second,8,1000,0,0,0,0,0,0
325,17,6,first,9,1000,0,0,0,0,0,0
325,18,1,second,9,1000,0,0,0,0,0,0
325,17,6,first,10,1000,0,0,0,0,0,0
325,18,1,second,10,1000,0,0,0,0,0,0
325,17,6,first,11,1000,0,0,0,0,0,0
325,18,1,second,11,1000,0,0,0,0,0,0
325,17,6,first,12,1000,0,0,0,0,0,0
325,18,1,second,12,1000,0,0,0,0,0,0
325,17,6,first,13,1000,0,0,0,0,0,0
325,18,1,second,13,1000,0,0,0,0,0,0
325,17,6,first,14,1000,0,0,0,0,0,0
325,18,1,second,14,1000,0,0,0,0,0,0
325,17,6,first,15,1000,0,0,0,0,0,0
325,18,1,second,15,1000,0,0,0,0,0,0
325,17,6,first,16,1000,0,0,0,0,0,0
325,18,1,second,16,1000,0,0,0,0,0,0
325,17,6,first,17,1000,0,0,0,0,0,0
325,18,1,second,17,1000,0,0,0,0,0,0
325,17,6,first,18,1000,0,0,0,0,0,0
325,18,1,second,18,1000,0,0,0,0,0,0
325,17,6,first,19,1000,0,0,0,0,0,0
325,18,1,second,19,1000,0,0,0,0,0,0
