n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
325,17,6,first,0,1000,184864,200515,34344092,40361015,37147939,15651,409229
325,18,1,second,0,1000,185215,200800,34469771,40477980,37270970,15585,405811
325,17,6,first,1,1000,184617,200959,34254907,40550985,37179859,16342,446174
325,18,1,second,1,1000,184942,200979,34374202,40554831,37254966,16037,419101
325,17,6,first,2,1000,185397,200935,34520847,40519035,37321131,15538,397620
325,18,1,second,2,1000,185598,200463,34597072,40347433,37288040,14865,368425
325,17,6,first,3,1000,184901,199940,34346409,40131376,37044742,15039,388301
325,18,1,second,3,1000,184541,200921,34233277,40538257,37161914,16380,447706
325,17,6,first,4,1000,184234,201047,34124820,40581583,37118120,16813,470163
325,18,1,second,4,1000,185335,200643,34509943,40413235,37261732,15308,399714
325,17,6,first,5,1000,185323,200678,34519127,40433172,37279016,15355,394267
325,18,1,second,5,1000,184869,200990,34343733,40556044,37239893,16121,419991
325,17,6,first,6,1000,185214,200687,34465604,40432667,37252824,15473,392623
325,18,1,second,6,1000,185663,201079,34640129,40576841,37411456,15416,394058
325,17,6,first,7,1000,184561,200601,34230521,40392153,37104594,16040,413486
325,18,1,second,7,1000,185076,200849,34419756,40493589,37252557,15773,408231
325,17,6,first,8,1000,185698,200910,34655552,40518070,37390739,15212,392144
325,18,1,second,8,1000,185072,200209,34405524,40240399,37132381,15137,381161
325,17,6,first,9,1000,184878,200643,34349934,40415393,37177179,15765,410969
325,18,1,second,9,1000,185069,201111,34414431,40602089,37285532,16042,445456
325,17,6,first,10,1000,184824,200128,34315982,40197592,37066102,15304,381370
325,18,1,second,10,1000,185360,200717,34522406,40447911,37286854,15357,396609
325,17,6,first,11,1000,184917,200601,34350159,40395741,37171054,15684,403792
325,18,1,second,11,1000,184798,201060,34325164,40592414,37242181,16262,433216
325,17,6,first,12,1000,185536,200975,34597252,40537033,37368151,15439,397983
325,18,1,second,12,1000,184309,200191,34145975,40225395,36973125,15882,425120
325,17,6,first,13,1000,185016,199921,34399460,40120989,37076808,14905,366833
325,18,1,second,13,1000,184848,201221,34362460,40650301,37284396,16373,443969
325,17,6,first,14,1000,184313,200851,34143669,40496571,37097211,16538,445818
325,18,1,second,14,1000,184940,200108,34372088,40198372,37090252,15168,389956
325,17,6,first,15,1000,184387,200704,34159725,40441580,37076227,16317,448851
325,18,1,second,15,1000,184765,200399,34305439,40321401,37109258,15634,408324
325,17,6,first,16,1000,184999,200626,34385933,40415998,37197701,15627,406529
325,18,1,second,16,1000,185154,200758,34454652,40459784,37250855,15604,412726
325,17,6,first,17,1000,185240,201076,34485410,40599720,37338467,15836,408196
325,18,1,second,17,1000,185033,201702,34420257,40842530,37405944,16669,450899
325,17,6,first,18,1000,185112,201195,34427464,40623669,37315040,16083,421053
325,18,1,second,18,1000,184454,200520,34191144,40373688,37068757,16066,427318
325,17,6,first,19,1000,185798,201278,34689512,40667052,37479456,15480,397652
325,18,1,second,19,1000,185410,200994,34545100,40552236,37351195,15584,394946
