n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
425,16,13,first,0,1000,242348,261926,58972420,68834518,63588521,19578,629896
425,19,8,second,0,1000,242830,262003,59222432,68885579,63745431,19173,617149
425,16,13,first,1,1000,242711,262173,59162177,68991501,63759051,19462,635576
425,19,8,second,1,1000,243564,262303,59559592,69037931,64008276,18739,580971
425,16,13,first,2,1000,243175,261167,59363519,68428581,63628982,17992,534136
425,19,8,second,2,1000,243706,261934,59614410,68820256,63943047,18228,548572
425,16,13,first,3,1000,242777,261353,59198197,68557265,63579138,18576,597186
425,19,8,second,3,1000,243307,262543,59439305,69164843,63998760,19236,606628
425,16,13,first,4,1000,243411,261249,59477301,68459527,63698156,17838,540516
425,19,8,second,4,1000,244366,261704,59931698,68697954,64059569,17338,510514
425,16,13,first,5,1000,243010,261188,59301162,68453758,63595465,18178,563990
425,19,8,second,5,1000,243824,262015,59687440,68884259,64012220,18191,547259
425,16,13,first,6,1000,242164,261380,58905950,68561952,63422138,19216,623626
425,19,8,second,6,1000,243204,261333,59398038,68540351,63686479,18129,565431
425,16,13,first,7,1000,243070,261333,59312480,68515979,63635299,18263,557861
425,19,8,second,7,1000,243108,261911,59330866,68823207,63774726,18803,604621
425,16,13,first,8,1000,243726,262036,59631916,68881652,63986667,18310,540234
425,19,8,second,8,1000,242791,261521,59214823,68647955,63638341,18730,586096
425,16,13,first,9,1000,241893,260686,58767365,68193548,63182212,18793,596489
425,19,8,second,9,1000,242925,260517,59242945,68081739,63396632,17592,531420
425,16,13,first,10,1000,242704,261126,59151876,68417148,63506380,18422,556264
425,19,8,second,10,1000,242774,261018,59195048,68356146,63484880,18244,581434
425,16,13,first,11,1000,242810,261632,59209220,68690146,63643713,18822,611940
425,19,8,second,11,1000,243021,261549,59299823,68614583,63680005,18528,554396
425,16,13,first,12,1000,242969,261590,59276627,68668358,63680791,18621,583403
425,19,8,second,12,1000,243008,261996,59264476,68866810,63771375,18988,588536
425,16,13,first,13,1000,243823,262955,59722033,69381307,64247322,19132,608696
425,19,8,second,13,1000,243039,260801,59302645,68249003,63512784,17762,526080
425,16,13,first,14,1000,243937,261183,59742521,68436085,63842206,17246,494194
425,19,8,second,14,1000,242206,260937,58886940,68318827,63312383,18731,581001
425,16,13,first,15,1000,243482,261950,59543314,68833674,63906328,18468,564332
425,19,8,second,15,1000,242555,260980,59058949,68318594,63394228,18425,589087
425,16,13,first,16,1000,243041,262258,59314631,68992486,63844558,19217,618001
425,19,8,second,16,1000,242909,261109,59236781,68398527,63543079,18200,549150
425,16,13,first,17,1000,241996,260852,58827818,68271610,63247012,18856,605404
425,19,8,second,17,1000,242757,261638,59165869,68685704,63628592,18881,594389
425,16,13,first,18,1000,243882,262358,59731864,69065022,64111426,18476,574034
425,19,8,second,18,1000,243923,261785,59744507,68749665,63974842,17862,544488
425,16,13,first,19,1000,242804,260625,59203866,68152817,63410140,17821,536403
425,19,8,second,19,1000,243281,260927,59403229,68309261,63597630,17646,517230
