n,a,b,orientation,batch,samples,kind,k,count
325,17,6,first,0,1000,minus,136,1
325,17,6,first,0,1000,minus,141,1
325,17,6,first,0,1000,minus,142,1
325,17,6,first,0,1000,minus,145,1
325,17,6,first,0,1000,minus,147,1
325,17,6,first,0,1000,minus,149,1
325,17,6,first,0,1000,minus,151,3
325,17,6,first,0,1000,minus,152,2
325,17,6,first,0,1000,minus,153,1
325,17,6,first,0,1000,minus,154,5
325,17,6,first,0,1000,minus,155,1
325,17,6,first,0,1000,minus,156,2
325,17,6,first,0,1000,minus,157,4
325,17,6,first,0,1000,minus,158,3
325,17,6,first,0,1000,plus,158,1
325,17,6,first,0,1000,minus,159,3
325,17,6,first,0,1000,minus,161,5
325,17,6,first,0,1000,minus,162,2
325,17,6,first,0,1000,minus,163,6
325,17,6,first,0,1000,minus,164,8
325,17,6,first,0,1000,minus,165,12
325,17,6,first,0,1000,plus,165,1
325,17,6,first,0,1000,minus,166,14
325,17,6,first,0,1000,minus,167,14
325,17,6,first,0,1000,plus,167,2
325,17,6,first,0,1000,minus,168,11
325,17,6,first,0,1000,minus,169,10
325,17,6,first,0,1000,minus,170,9
325,17,6,first,0,1000,plus,170,1
325,17,6,first,0,1000,minus,171,15
325,17,6,first,0,1000,minus,172,15
325,17,6,first,0,1000,plus,172,2
325,17,6,first,0,1000,minus,173,21
325,17,6,first,0,1000,plus,173,1
325,17,6,first,0,1000,minus,174,19
325,17,6,first,0,1000,plus,174,1
325,17,6,first,0,1000,minus,175,20
325,17,6,first,0,1000,plus,175,6
325,17,6,first,0,1000,minus,176,19
325,17,6,first,0,1000,plus,176,4
325,17,6,first,0,1000,minus,177,21
325,17,6,first,0,1000,plus,177,12
325,17,6,first,0,1000,minus,178,24
325,17,6,first,0,1000,plus,178,6
325,17,6,first,0,1000,minus,179,26
325,17,6,first,0,1000,plus,179,3
325,17,6,first,0,1000,minus,180,25
325,17,6,first,0,1000,plus,180,9
325,17,6,first,0,1000,minus,181,24
325,17,6,first,0,1000,plus,181,6
325,17,6,first,0,1000,minus,182,25
325,17,6,first,0,1000,plus,182,11
325,17,6,first,0,1000,minus,183,29
325,17,6,first,0,1000,plus,183,5
325,17,6,first,0,1000,minus,184,30
325,17,6,first,0,1000,plus,184,19
325,17,6,first,0,1000,minus,185,36
