n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
425,16,13,first,0,1000,243048,260965,59309102,68313501,63542698,17917,537207
425,19,8,second,0,1000,242876,260805,59216118,68255789,63459354,17929,553199
425,16,13,first,1,1000,243387,261702,59476113,68701282,63806242,18315,564911
425,19,8,second,1,1000,243790,261546,59673498,68642252,63892237,17756,531276
425,16,13,first,2,1000,242352,260937,58973788,68330987,63368133,18585,568509
425,19,8,second,2,1000,243518,261937,59540972,68835213,63911138,18419,553909
425,16,13,first,3,1000,243016,261067,59286936,68366531,63556585,18051,540297
425,19,8,second,3,1000,242691,261345,59138047,68524709,63549265,18654,564226
425,16,13,first,4,1000,242617,260955,59123543,68310589,63424888,18338,584356
425,19,8,second,4,1000,243245,261689,59406697,68717305,63763649,18444,596704
425,16,13,first,5,1000,243937,262105,59744571,68929827,64053033,18168,568332
425,19,8,second,5,1000,243854,262033,59707688,68899693,64024111,18179,559159
425,16,13,first,6,1000,243265,262145,59423395,68919677,63878656,18880,585760
425,19,8,second,6,1000,243114,261711,59344100,68713479,63749002,18597,559575
425,16,13,first,7,1000,241952,261175,58773752,68460445,63303172,19223,627853
425,19,8,second,7,1000,242383,261849,59005543,68792133,63592617,19466,612442
425,16,13,first,8,1000,242964,262123,59274302,68948709,63817038,19159,588935
425,19,8,second,8,1000,243186,261275,59394804,68502313,63677055,18089,543007
425,16,13,first,9,1000,243580,261442,59562846,68578232,63795096,17862,550886
425,19,8,second,9,1000,243980,261890,59762822,68798400,64019023,17910,523176
425,16,13,first,10,1000,243271,261678,59430601,68717624,63780836,18407,586553
425,19,8,second,10,1000,243316,261674,59434054,68684802,63785362,18358,548132
425,16,13,first,11,1000,243851,261829,59701763,68783267,63976468,17978,532094
425,19,8,second,11,1000,243421,261664,59500345,68696362,63820723,18243,555261
425,16,13,first,12,1000,242155,261639,58893887,68678781,63460031,19484,652606
425,19,8,second,12,1000,242922,261803,59241312,68776439,63713662,18881,590427
425,16,13,first,13,1000,243328,261658,59443780,68688298,63789573,18330,552932
425,19,8,second,13,1000,244040,261709,59794688,68711177,63988920,17669,528025
425,16,13,first,14,1000,243174,261600,59367872,68659668,63728324,18426,570892
425,19,8,second,14,1000,243358,262209,59472664,68994021,63937185,18851,592315
425,16,13,first,15,1000,242512,261479,59069256,68601925,63544163,18967,582855
425,19,8,second,15,1000,243416,262055,59495920,68895517,63908805,18639,573827
425,16,13,first,16,1000,242576,261388,59092620,68559902,63530251,18812,592020
425,19,8,second,16,1000,242787,261858,59185751,68803194,63692431,19071,604083
425,16,13,first,17,1000,243029,261192,59293627,68435232,63590199,18163,548461
425,19,8,second,17,1000,243127,260909,59363427,68299499,63562984,17782,536958
425,16,13,first,18,1000,243060,262172,59316058,68957066,63836887,19112,599350
425,19,8,second,18,1000,243704,261584,59618798,68643474,63858658,17880,544956
425,16,13,first,19,1000,241737,261452,58665213,68591502,63311027,19715,634661
425,19,8,second,19,1000,243409,262010,59492165,68887870,63905172,18601,569691
