n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
85,9,2,first,0,10000,474134,540119,22739882,29400063,25717953,65985,704039
85,7,6,second,0,10000,474795,540323,22790731,29424483,25762498,65528,690218
85,9,2,first,1,10000,475495,540984,22858861,29486856,25830013,65489,685691
85,7,6,second,1,10000,475252,541946,22839274,29596554,25864914,66694,706000
85,9,2,first,2,10000,474551,539973,22775845,29376079,25733357,65422,685210
85,7,6,second,2,10000,475568,541374,22867556,29537368,25857625,65806,689674
85,9,2,first,3,10000,474270,540599,22745916,29450863,25743425,66329,709929
85,7,6,second,3,10000,474888,541147,22800548,29515243,25806155,66259,703481
85,9,2,first,4,10000,474723,541224,22792909,29513798,25797943,66501,710821
85,7,6,second,4,10000,475247,541115,22831439,29507329,25821613,65868,695542
85,9,2,first,5,10000,475095,541464,22826503,29536180,25829900,66369,702883
85,7,6,second,5,10000,474793,540656,22788055,29461190,25778278,65863,692689
85,9,2,first,6,10000,474938,541565,22816038,29556819,25831594,66627,709669
85,7,6,second,6,10000,474799,541379,22796575,29539847,25811227,66580,713968
85,9,2,first,7,10000,475407,542194,22861143,29621626,25883906,66787,714957
85,7,6,second,7,10000,474871,540918,22794045,29486650,25792245,66047,696205
85,9,2,first,8,10000,474866,540551,22803592,29440937,25775925,65685,692679
85,7,6,second,8,10000,475511,541615,22861451,29559071,25858609,66104,703304
85,9,2,first,9,10000,475333,541213,22849347,29512325,25833155,65880,695362
85,7,6,second,9,10000,475820,541771,22884802,29573941,25882746,65951,693251
85,9,2,first,10,10000,475217,541083,22833719,29501755,25821717,65866,692040
85,7,6,second,10,10000,475329,541836,22841929,29588082,25862692,66507,704627
85,9,2,first,11,10000,475334,542041,22845400,29603899,25869270,66707,710759
85,7,6,second,11,10000,475385,541457,22846937,29543633,25846613,66072,697344
85,9,2,first,12,10000,475084,540850,22821940,29473386,25801922,65766,691482
85,7,6,second,12,10000,474904,541590,22802868,29560460,25828492,66686,706344
85,9,2,first,13,10000,474703,541509,22785525,29543031,25811034,66806,706488
85,7,6,second,13,10000,475901,541188,22893035,29512032,25864822,65287,675423
85,9,2,first,14,10000,474992,541335,22813722,29526399,25818477,66343,703167
85,7,6,second,14,10000,473821,540414,22696985,29432680,25709066,66593,711533
85,9,2,first,15,10000,475205,541317,22829421,29524323,25828784,66112,696176
85,7,6,second,15,10000,475571,541360,22864345,29531248,25849085,65789,697423
85,9,2,first,16,10000,474466,541043,22770368,29494307,25774408,66577,715859
85,7,6,second,16,10000,475468,540702,22850148,29454774,25812605,65234,679712
85,9,2,first,17,10000,475291,541482,22843639,29544414,25844336,66191,699381
85,7,6,second,17,10000,475875,541172,22887475,29515578,25861463,65297,680127
85,9,2,first,18,10000,473946,540202,22717718,29409670,25710220,66256,706948
85,7,6,second,18,10000,475602,541695,22867556,29575157,25870889,66093,700935
85,9,2,first,19,10000,475359,540467,22843035,29438373,25798504,65108,684400
85,7,6,second,19,10000,475693,541003,22875761,29494653,25842959,65310,684496
