n,a,b,orientation,batch,samples,kind,k,count
145,12,1,first,0,60000,minus,44,1
145,12,1,first,0,60000,minus,45,1
145,12,1,first,0,60000,minus,47,2
145,12,1,first,0,60000,minus,48,3
145,12,1,first,0,60000,minus,49,8
145,12,1,first,0,60000,minus,50,8
145,12,1,first,0,60000,minus,51,5
145,12,1,first,0,60000,minus,52,7
145,12,1,first,0,60000,minus,53,10
145,12,1,first,0,60000,minus,54,10
145,12,1,first,0,60000,minus,55,24
145,12,1,first,0,60000,minus,56,27
145,12,1,first,0,60000,minus,57,38
145,12,1,first,0,60000,minus,58,51
145,12,1,first,0,60000,minus,59,66
145,12,1,first,0,60000,minus,60,77
145,12,1,first,0,60000,minus,61,122
145,12,1,first,0,60000,plus,61,1
145,12,1,first,0,60000,minus,62,143
145,12,1,first,0,60000,minus,63,188
145,12,1,first,0,60000,minus,64,240
145,12,1,first,0,60000,plus,64,1
145,12,1,first,0,60000,minus,65,316
145,12,1,first,0,60000,plus,65,7
145,12,1,first,0,60000,minus,66,380
145,12,1,first,0,60000,plus,66,8
145,12,1,first,0,60000,minus,67,474
145,12,1,first,0,60000,plus,67,9
145,12,1,first,0,60000,minus,68,610
145,12,1,first,0,60000,plus,68,17
145,12,1,first,0,60000,minus,69,652
145,12,1,first,0,60000,plus,69,24
145,12,1,first,0,60000,minus,70,838
145,12,1,first,0,60000,plus,70,38
145,12,1,first,0,60000,minus,71,1004
145,12,1,first,0,60000,plus,71,42
145,12,1,first,0,60000,minus,72,1172
145,12,1,first,0,60000,plus,72,76
145,12,1,first,0,60000,minus,73,1394
145,12,1,first,0,60000,plus,73,113
145,12,1,first,0,60000,minus,74,1701
145,12,1,first,0,60000,plus,74,178
145,12,1,first,0,60000,minus,75,1917
145,12,1,first,0,60000,plus,75,252
145,12,1,first,0,60000,minus,76,2153
145,12,1,first,0,60000,plus,76,300
145,12,1,first,0,60000,minus,77,2438
145,12,1,first,0,60000,plus,77,430
145,12,1,first,0,60000,minus,78,2759
145,12,1,first,0,60000,plus,78,605
145,12,1,first,0,60000,minus,79,2951
145,12,1,first,0,60000,plus,79,741
145,12,1,first,0,60000,minus,80,3139
145,12,1,first,0,60000,plus,80,988
145,12,1,first,0,60000,minus,81,3215
145,12,1,first,0,60000,plus,81,1237
145,12,1,first,0,60000,minus,82,3261
145,12,1,first,0,60000,plus,82,1450
145,12,1,first,0,60000,minus,83,3419
145,12,1,first,0,60000,plus,83,1797
145,12,1,first,0,60000,minus,84,3367
145,12,1,first,0,60000,plus,84,2135
145,12,1,first,0,60000,minus,85,3144
145,12,1,first,0,60000,plus,85,2463
145,12,1,first,0,60000,minus,86,3083
145,12,1,first,0,60000,plus,86,2799
145,12,1,first,0,60000,minus,87,2685
145,12,1,first,0,60000,plus,87,3044
145,12,1,first,0,60000,minus,88,2502
145,12,1,first,0,60000,plus,88,3198
145,12,1,first,0,60000,minus,89,2124
145,12,1,first,0,60000,plus,89,3341
145,12,1,first,0,60000,minus,90,1878
145,12,1,first,0,60000,plus,90,3475
145,12,1,first,0,60000,minus,91,1544
145,12,1,first,0,60000,plus,91,3593
145,12,1,first,0,60000,minus,92,1229
145,12,1,first,0,60000,plus,92,3328
145,12,1,first,0,60000,minus,93,1000
145,12,1,first,0,60000,plus,93,3333
145,12,1,first,0,60000,minus,94,747
145,12,1,first,0,60000,plus,94,3078
145,12,1,first,0,60000,minus,95,562
145,12,1,first,0,60000,plus,95,2751
145,12,1,first,0,60000,minus,96,431
145,12,1,first,0,60000,plus,96,2486
145,12,1,first,0,60000,minus,97,300
145,12,1,first,0,60000,plus,97,2199
145,12,1,first,0,60000,minus,98,197
145,12,1,first,0,60000,plus,98,1931
145,12,1,first,0,60000,minus,99,164
145,12,1,first,0,60000,plus,99,1740
145,12,1,first,0,60000,minus,100,98
145,12,1,first,0,60000,plus,100,1420
145,12,1,first,0,60000,minus,101,51
145,12,1,first,0,60000,plus,101,1149
145,12,1,first,0,60000,minus,102,33
145,12,1,first,0,60000,plus,102,944
145,12,1,first,0,60000,minus,103,14
145,12,1,first,0,60000,plus,103,791
145,12,1,first,0,60000,minus,104,10
145,12,1,first,0,60000,plus,104,605
145,12,1,first,0,60000,minus,105,5
145,12,1,first,0,60000,plus,105,444
145,12,1,first,0,60000,minus,106,4
145,12,1,first,0,60000,plus,106,341
145,12,1,first,0,60000,minus,107,1
145,12,1,first,0,60000,plus,107,308
145,12,1,first,0,60000,minus,108,2
145,12,1,first,0,60000,plus,108,234
145,12,1,first,0,60000,minus,109,1
145,12,1,first,0,60000,plus,109,158
145,12,1,first,0,60000,plus,110,111
145,12,1,first,0,60000,plus,111,85
145,12,1,first,0,60000,plus,112,73
145,12,1,first,0,60000,plus,113,39
145,12,1,first,0,60000,plus,114,39
145,12,1,first,0,60000,plus,115,17
145,12,1,first,0,60000,plus,116,14
145,12,1,first,0,60000,plus,117,7
145,12,1,first,0,60000,plus,118,2
145,12,1,first,0,60000,plus,119,3
145,12,1,first,0,60000,plus,120,3
145,12,1,first,0,60000,plus,121,2
145,12,1,first,0,60000,plus,122,2
145,12,1,first,0,60000,plus,123,1
145,9,8,second,0,60000,minus,42,1
145,9,8,second,0,60000,minus,47,1
145,9,8,second,0,60000,minus,48,2
145,9,8,second,0,60000,minus,49,3
145,9,8,second,0,60000,minus,50,4
145,9,8,second,0,60000,minus,51,6
145,9,8,second,0,60000,minus,52,13
145,9,8,second,0,60000,minus,53,8
145,9,8,second,0,60000,minus,54,24
145,9,8,second,0,60000,minus,55,21
145,9,8,second,0,60000,minus,56,31
145,9,8,second,0,60000,minus,57,38
145,9,8,second,0,60000,minus,58,38
145,9,8,second,0,60000,minus,59,60
145,9,8,second,0,60000,plus,59,2
145,9,8,second,0,60000,minus,60,83
145,9,8,second,0,60000,minus,61,94
145,9,8,second,0,60000,plus,61,1
145,9,8,second,0,60000,minus,62,143
145,9,8,second,0,60000,plus,62,2
145,9,8,second,0,60000,minus,63,167
145,9,8,second,0,60000,plus,63,2
145,9,8,second,0,60000,minus,64,247
145,9,8,second,0,60000,plus,64,3
145,9,8,second,0,60000,minus,65,275
145,9,8,second,0,60000,plus,65,3
145,9,8,second,0,60000,minus,66,372
145,9,8,second,0,60000,plus,66,11
145,9,8,second,0,60000,minus,67,445
145,9,8,second,0,60000,plus,67,7
145,9,8,second,0,60000,minus,68,583
145,9,8,second,0,60000,plus,68,13
145,9,8,second,0,60000,minus,69,702
145,9,8,second,0,60000,plus,69,30
145,9,8,second,0,60000,minus,70,873
145,9,8,second,0,60000,plus,70,32
145,9,8,second,0,60000,minus,71,1051
145,9,8,second,0,60000,plus,71,68
145,9,8,second,0,60000,minus,72,1155
145,9,8,second,0,60000,plus,72,71
145,9,8,second,0,60000,minus,73,1485
145,9,8,second,0,60000,plus,73,113
145,9,8,second,0,60000,minus,74,1687
145,9,8,second,0,60000,plus,74,162
145,9,8,second,0,60000,minus,75,1914
145,9,8,second,0,60000,plus,75,253
145,9,8,second,0,60000,minus,76,2141
145,9,8,second,0,60000,plus,76,296
145,9,8,second,0,60000,minus,77,2332
145,9,8,second,0,60000,plus,77,432
145,9,8,second,0,60000,minus,78,2713
145,9,8,second,0,60000,plus,78,550
145,9,8,second,0,60000,minus,79,2937
145,9,8,second,0,60000,plus,79,721
145,9,8,second,0,60000,minus,80,3170
145,9,8,second,0,60000,plus,80,993
145,9,8,second,0,60000,minus,81,3208
145,9,8,second,0,60000,plus,81,1204
145,9,8,second,0,60000,minus,82,3348
145,9,8,second,0,60000,plus,82,1455
145,9,8,second,0,60000,minus,83,3472
145,9,8,second,0,60000,plus,83,1814
145,9,8,second,0,60000,minus,84,3226
145,9,8,second,0,60000,plus,84,2129
145,9,8,second,0,60000,minus,85,3150
145,9,8,second,0,60000,plus,85,2509
145,9,8,second,0,60000,minus,86,3124
145,9,8,second,0,60000,plus,86,2740
145,9,8,second,0,60000,minus,87,2838
145,9,8,second,0,60000,plus,87,3135
145,9,8,second,0,60000,minus,88,2506
145,9,8,second,0,60000,plus,88,3170
145,9,8,second,0,60000,minus,89,2123
145,9,8,second,0,60000,plus,89,3300
145,9,8,second,0,60000,minus,90,1867
145,9,8,second,0,60000,plus,90,3465
145,9,8,second,0,60000,minus,91,1537
145,9,8,second,0,60000,plus,91,3501
145,9,8,second,0,60000,minus,92,1262
145,9,8,second,0,60000,plus,92,3559
145,9,8,second,0,60000,minus,93,1013
145,9,8,second,0,60000,plus,93,3209
145,9,8,second,0,60000,minus,94,721
145,9,8,second,0,60000,plus,94,3084
145,9,8,second,0,60000,minus,95,548
145,9,8,second,0,60000,plus,95,2823
145,9,8,second,0,60000,minus,96,406
145,9,8,second,0,60000,plus,96,2537
145,9,8,second,0,60000,minus,97,284
145,9,8,second,0,60000,plus,97,2217
145,9,8,second,0,60000,minus,98,198
145,9,8,second,0,60000,plus,98,1928
145,9,8,second,0,60000,minus,99,123
145,9,8,second,0,60000,plus,99,1650
145,9,8,second,0,60000,minus,100,80
145,9,8,second,0,60000,plus,100,1390
145,9,8,second,0,60000,minus,101,64
145,9,8,second,0,60000,plus,101,1163
145,9,8,second,0,60000,minus,102,37
145,9,8,second,0,60000,plus,102,946
145,9,8,second,0,60000,minus,103,20
145,9,8,second,0,60000,plus,103,779
145,9,8,second,0,60000,minus,104,11
145,9,8,second,0,60000,plus,104,614
145,9,8,second,0,60000,minus,105,6
145,9,8,second,0,60000,plus,105,456
145,9,8,second,0,60000,minus,106,5
145,9,8,second,0,60000,plus,106,367
145,9,8,second,0,60000,minus,107,2
145,9,8,second,0,60000,plus,107,256
145,9,8,second,0,60000,plus,108,239
145,9,8,second,0,60000,minus,109,2
145,9,8,second,0,60000,plus,109,164
145,9,8,second,0,60000,plus,110,128
145,9,8,second,0,60000,plus,111,87
145,9,8,second,0,60000,plus,112,64
145,9,8,second,0,60000,plus,113,46
145,9,8,second,0,60000,plus,114,38
145,9,8,second,0,60000,plus,115,22
145,9,8,second,0,60000,plus,116,15
145,9,8,second,0,60000,plus,117,14
145,9,8,second,0,60000,plus,118,8
145,9,8,second,0,60000,plus,119,5
145,9,8,second,0,60000,plus,120,3
145,9,8,second,0,60000,plus,122,2
145,12,1,first,1,60000,minus,37,1
145,12,1,first,1,60000,minus,41,1
145,12,1,first,1,60000,minus,46,2
145,12,1,first,1,60000,minus,47,1
145,12,1,first,1,60000,minus,48,5
145,12,1,first,1,60000,minus,49,5
145,12,1,first,1,60000,minus,50,3
145,12,1,first,1,60000,minus,51,14
145,12,1,first,1,60000,minus,52,13
145,12,1,first,1,60000,minus,53,16
145,12,1,first,1,60000,minus,54,17
145,12,1,first,1,60000,minus,55,10
145,12,1,first,1,60000,minus,56,44
145,12,1,first,1,60000,minus,57,41
145,12,1,first,1,60000,minus,58,50
145,12,1,first,1,60000,minus,59,69
145,12,1,first,1,60000,minus,60,95
145,12,1,first,1,60000,plus,60,1
145,12,1,first,1,60000,minus,61,111
145,12,1,first,1,60000,minus,62,152
145,12,1,first,1,60000,plus,62,1
145,12,1,first,1,60000,minus,63,186
145,12,1,first,1,60000,plus,63,4
145,12,1,first,1,60000,minus,64,279
145,12,1,first,1,60000,plus,64,2
145,12,1,first,1,60000,minus,65,305
145,12,1,first,1,60000,plus,65,5
145,12,1,first,1,60000,minus,66,347
145,12,1,first,1,60000,minus,67,481
145,12,1,first,1,60000,plus,67,12
145,12,1,first,1,60000,minus,68,550
145,12,1,first,1,60000,plus,68,14
145,12,1,first,1,60000,minus,69,708
145,12,1,first,1,60000,plus,69,21
145,12,1,first,1,60000,minus,70,823
145,12,1,first,1,60000,plus,70,41
145,12,1,first,1,60000,minus,71,1052
145,12,1,first,1,60000,plus,71,53
145,12,1,first,1,60000,minus,72,1226
145,12,1,first,1,60000,plus,72,77
145,12,1,first,1,60000,minus,73,1452
145,12,1,first,1,60000,plus,73,136
145,12,1,first,1,60000,minus,74,1683
145,12,1,first,1,60000,plus,74,153
145,12,1,first,1,60000,minus,75,1925
145,12,1,first,1,60000,plus,75,237
145,12,1,first,1,60000,minus,76,2163
145,12,1,first,1,60000,plus,76,334
145,12,1,first,1,60000,minus,77,2423
145,12,1,first,1,60000,plus,77,440
145,12,1,first,1,60000,minus,78,2637
145,12,1,first,1,60000,plus,78,592
145,12,1,first,1,60000,minus,79,2822
145,12,1,first,1,60000,plus,79,791
145,12,1,first,1,60000,minus,80,3178
145,12,1,first,1,60000,plus,80,1041
145,12,1,first,1,60000,minus,81,3219
145,12,1,first,1,60000,plus,81,1164
145,12,1,first,1,60000,minus,82,3323
145,12,1,first,1,60000,plus,82,1402
145,12,1,first,1,60000,minus,83,3406
145,12,1,first,1,60000,plus,83,1770
145,12,1,first,1,60000,minus,84,3307
145,12,1,first,1,60000,plus,84,2028
145,12,1,first,1,60000,minus,85,3127
145,12,1,first,1,60000,plus,85,2445
145,12,1,first,1,60000,minus,86,3097
145,12,1,first,1,60000,plus,86,2746
145,12,1,first,1,60000,minus,87,2717
145,12,1,first,1,60000,plus,87,3052
145,12,1,first,1,60000,minus,88,2528
145,12,1,first,1,60000,plus,88,3153
145,12,1,first,1,60000,minus,89,2145
145,12,1,first,1,60000,plus,89,3409
145,12,1,first,1,60000,minus,90,1905
145,12,1,first,1,60000,plus,90,3433
145,12,1,first,1,60000,minus,91,1518
145,12,1,first,1,60000,plus,91,3445
145,12,1,first,1,60000,minus,92,1255
145,12,1,first,1,60000,plus,92,3408
145,12,1,first,1,60000,minus,93,983
145,12,1,first,1,60000,plus,93,3267
145,12,1,first,1,60000,minus,94,777
145,12,1,first,1,60000,plus,94,3137
145,12,1,first,1,60000,minus,95,568
145,12,1,first,1,60000,plus,95,2867
145,12,1,first,1,60000,minus,96,395
145,12,1,first,1,60000,plus,96,2587
145,12,1,first,1,60000,minus,97,294
145,12,1,first,1,60000,plus,97,2301
145,12,1,first,1,60000,minus,98,188
145,12,1,first,1,60000,plus,98,1952
145,12,1,first,1,60000,minus,99,119
145,12,1,first,1,60000,plus,99,1666
145,12,1,first,1,60000,minus,100,97
145,12,1,first,1,60000,plus,100,1389
145,12,1,first,1,60000,minus,101,52
145,12,1,first,1,60000,plus,101,1190
145,12,1,first,1,60000,minus,102,43
145,12,1,first,1,60000,plus,102,959
145,12,1,first,1,60000,minus,103,22
145,12,1,first,1,60000,plus,103,727
145,12,1,first,1,60000,minus,104,14
145,12,1,first,1,60000,plus,104,626
145,12,1,first,1,60000,minus,105,4
145,12,1,first,1,60000,plus,105,464
145,12,1,first,1,60000,minus,106,6
