n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
145,12,1,first,0,60000,4900185,5459467,403465339,499745229,447345954,559282,8518660
145,9,8,second,0,60000,4900991,5460636,403555621,499963586,447483383,559645,8552441
145,12,1,first,1,60000,4898244,5462210,403181514,500262934,447389874,563966,8664700
145,9,8,second,1,60000,4902740,5462297,403836898,500255187,447791190,559557,8509705
145,12,1,first,2,60000,4900238,5464626,403501760,500654116,447755109,564388,8645658
145,9,8,second,2,60000,4903665,5464446,404003305,500645568,448055516,560781,8537841
145,12,1,first,3,60000,4903021,5460055,403945459,499833091,447657645,557034,8463260
145,9,8,second,3,60000,4902722,5461521,403849358,500165647,447749733,558799,8515539
145,12,1,first,4,60000,4900663,5461435,403541581,500069721,447529607,560772,8552088
145,9,8,second,4,60000,4904748,5460958,404157196,500024942,447877869,556210,8426400
145,12,1,first,5,60000,4901024,5460701,403607704,499961273,447517796,559677,8533385
145,9,8,second,5,60000,4899148,5460076,403278374,499905366,447318274,560928,8547192
145,12,1,first,6,60000,4901004,5459271,403620366,499670049,447401111,558267,8488193
145,9,8,second,6,60000,4900313,5459498,403445349,499775196,447349160,559185,8522225
145,12,1,first,7,60000,4897461,5459944,403040619,499807068,447125243,562483,8597201
145,9,8,second,7,60000,4903267,5462085,403916461,500261859,447850260,558818,8477800
145,12,1,first,8,60000,4897125,5458490,402961205,499557822,446981938,561365,8555151
145,9,8,second,8,60000,4903846,5460191,403980728,499868963,447717470,556345,8414751
145,12,1,first,9,60000,4899440,5460023,403346496,499830911,447321099,560583,8535209
145,9,8,second,9,60000,4901227,5460950,403589017,500006196,447545301,559723,8504611
145,12,1,first,10,60000,4898458,5458866,403168908,499609374,447121868,560408,8534546
145,9,8,second,10,60000,4903097,5463834,403899851,500581084,447976962,560737,8527011
145,12,1,first,11,60000,4901770,5463295,403721492,500382517,447776283,561525,8551443
145,9,8,second,11,60000,4903015,5461042,403894185,500076542,447719987,558027,8530753
145,12,1,first,12,60000,4898026,5459054,403120122,499636586,447095733,561028,8565242
145,9,8,second,12,60000,4901928,5460158,403669506,499902252,447552153,558230,8467452
145,12,1,first,13,60000,4900426,5461390,403523738,500034096,447480449,560964,8596936
145,9,8,second,13,60000,4902920,5464403,403899732,500649101,447994574,561483,8559685
145,12,1,first,14,60000,4898002,5458365,403105614,499501757,447028759,560363,8549853
