n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
325,18,1,first,0,2000000,370314147,401588575,68902332367,80950794331,74519153702,31274428,814819294
325,17,6,second,0,2000000,370344113,401614770,68913241383,80960981684,74529649897,31270657,814923273
325,18,1,first,1,2000000,370358979,401654482,68919267139,80976815602,74540155092,31295503,815772557
325,17,6,second,1,2000000,370369234,401623011,68922505482,80964981899,74536798981,31253777,813889419
325,18,1,first,2,2000000,370330408,401584455,68908388494,80947955747,74521022829,31254047,814298583
325,17,6,second,2,2000000,370369522,401589914,68922301850,80951516864,74530796284,31220392,812226146
325,18,1,first,3,2000000,370353405,401612009,68916436819,80959104801,74530679059,31258604,814183502
325,17,6,second,3,2000000,370332415,401613747,68908638851,80960953149,74527277853,31281332,815036294
325,18,1,first,4,2000000,370357010,401634431,68918402634,80968520187,74535995433,31277421,814931955
325,17,6,second,4,2000000,370373466,401603816,68923337736,80956365854,74533113701,31230350,813476188
325,18,1,first,5,2000000,370332593,401627224,68909238931,80965413716,74529412040,31294631,815828567
325,17,6,second,5,2000000,370400670,401618280,68933956152,80962442036,74542036019,31217610,812326150
325,18,1,first,6,2000000,370356440,401593723,68917970588,80952131271,74528271848,31237283,813558163
325,17,6,second,6,2000000,370357962,401614419,68917863570,80961071199,74532336807,31256457,814261155
325,18,1,first,7,2000000,370339579,401595903,68912283835,80953256505,74525612294,31256324,814315752
325,17,6,second,7,2000000,370350955,401602678,68915080393,80956184360,74528534926,31251723,814194901
325,18,1,first,8,2000000,370378914,401633423,68925982616,80968188537,74539961359,31254509,814248435
325,17,6,second,8,2000000,370361229,401610929,68918349715,80959813547,74532155380,31249700,813852502
325,18,1,first,9,2000000,370314901,401609825,68902373149,80958899753,74522286509,31294924,816699884
325,17,6,second,9,2000000,370372432,401623603,68923255890,80964609351,74537067923,31251171,813729395
325,18,1,first,10,2000000,370304693,401611486,68899082283,80959821980,74521359277,31306793,816185709
325,17,6,second,10,2000000,370372187,401614788,68923230111,80961367154,74535693623,31242601,813210019
325,18,1,first,11,2000000,370373861,401629376,68924849491,80966410780,74538700382,31255515,813859507
325,17,6,second,11,2000000,370355052,401600814,68916274396,80955513486,74529147835,31245762,813492212
325,18,1,first,12,2000000,370352125,401604182,68916475697,80955767988,74529271635,31252057,813700415
325,17,6,second,12,2000000,370355707,401643102,68916978341,80972593400,74537043850,31287395,815484041
325,18,1,first,13,2000000,370342975,401572881,68912520091,80944263227,74521948383,31229906,812886552
325,17,6,second,13,2000000,370388877,401638729,68928938817,80970905047,74542964462,31249852,813914940
325,18,1,first,14,2000000,370341871,401589528,68912925851,80950242846,74524551481,31247657,814065735
325,17,6,second,14,2000000,370377446,401621237,68924686188,80963486231,74537363854,31243791,813444711
325,18,1,first,15,2000000,370345205,401623741,68914007431,80964667003,74531547503,31278536,815579428
325,17,6,second,15,2000000,370371994,401614175,68923476494,80961807547,74535691782,31242181,813900477
325,18,1,first,16,2000000,370324268,401590554,68906016380,80951133748,74520881177,31266286,815387774
325,17,6,second,16,2000000,370345572,401639690,68913548876,80971410320,74534686625,31294118,815585946
325,18,1,first,17,2000000,370354034,401616729,68917338220,80961575305,74531951268,31262695,815010989
325,17,6,second,17,2000000,370364723,401640785,68919747163,80971837637,74538668005,31276062,814248790
325,18,1,first,18,2000000,370315063,401582461,68902580061,80947784485,74517491159,31267398,815382228
325,17,6,second,18,2000000,370358617,401608772,68917918373,80958803880,74531541332,31250155,813639589
325,18,1,first,19,2000000,370347695,401616341,68914672287,80961329491,74530779748,31268646,814442282
325,17,6,second,19,2000000,370394376,401628137,68931211360,80966906545,74542581494,31233761,812954917
325,18,1,first,20,2000000,370323758,401611358,68905792466,80959510876,74524865485,31287600,815572372
325,17,6,second,20,2000000,370349360,401621701,68914885814,80964021963,74531936772,31272341,815034233
325,18,1,first,21,2000000,370335753,401609413,68910525879,80959112401,74527133657,31273660,815370966
325,17,6,second,21,2000000,370384859,401641830,68928250649,80972446810,74543367664,31256971,813962131
325,18,1,first,22,2000000,370326046,401617411,68907191228,80961862257,74526184419,31291365,816684647
325,17,6,second,22,2000000,370357928,401582595,68917894608,80947920969,74526621529,31224667,812572519
325,18,1,first,23,2000000,370358396,401620903,68919043778,80962972187,74533677795,31262507,814660375
325,17,6,second,23,2000000,370355386,401636896,68917148106,80969440174,74535899852,31281510,814788576
325,18,1,first,24,2000000,370377951,401611025,68925652075,80958813023,74535656792,31233074,813151514
325,17,6,second,24,2000000,370397396,401640798,68932313400,80971473794,74545154319,31243402,813478556
325,18,1,first,25,2000000,370342144,401614294,68913329506,80960609408,74529552856,31272150,814833202
325,17,6,second,25,2000000,370367177,401594835,68920892507,80953308385,74530980550,31227658,812239792
325,18,1,first,26,2000000,370357051,401610760,68918302035,80959079194,74531293904,31253709,814793421
325,17,6,second,26,2000000,370365940,401631469,68920947716,80967998205,74537440035,31265529,814065851
325,18,1,first,27,2000000,370341660,401614687,68912515588,80960425183,74529027427,31273027,814885917
325,17,6,second,27,2000000,370339516,401606421,68910985488,80958085691,74527402064,31266905,814267051
325,18,1,first,28,2000000,370352183,401595127,68915969207,80952185349,74527293877,31242944,813566802
325,17,6,second,28,2000000,370372036,401612376,68922878972,80960046466,74534822154,31240340,813281130
325,18,1,first,29,2000000,370324137,401600547,68906255455,80955102167,74523108575,31276410,815140472
325,17,6,second,29,2000000,370376537,401659928,68925348547,80979765728,74544779854,31283391,815554567
325,18,1,first,30,2000000,370358823,401631811,68918515769,80968038803,74535918212,31272988,814718148
325,17,6,second,30,2000000,370367172,401624702,68921216684,80965059072,74536113043,31257530,814049670
325,18,1,first,31,2000000,370322097,401588044,68905614123,80950559852,74520712092,31265947,814749791
325,17,6,second,31,2000000,370346626,401626965,68914155566,80965866059,74532412349,31280339,815196927
325,18,1,first,32,2000000,370339976,401590584,68911721704,80950906628,74524570629,31250608,813487074
325,17,6,second,32,2000000,370357550,401628137,68917487478,80966984883,74534933720,31270587,814604921
325,18,1,first,33,2000000,370371799,401605289,68923845445,80956651931,74533738019,31233490,813021338
325,17,6,second,33,2000000,370357257,401609779,68917531033,80958689675,74531582942,31252522,813054824
325,18,1,first,34,2000000,370331231,401589021,68908755853,80950059003,74522176452,31257790,814461952
325,17,6,second,34,2000000,370355128,401590810,68916499476,80951421612,74527481679,31235682,812957730
325,18,1,first,35,2000000,370358970,401591326,68919347300,80951761400,74528717861,31232356,813672978
325,17,6,second,35,2000000,370348062,401612386,68914835582,80960926436,74530650287,31264324,814461444
325,18,1,first,36,2000000,370357040,401600218,68918479062,80954988616,74529948177,31243178,813571324
325,17,6,second,36,2000000,370350142,401606653,68915460060,80958336083,74529976124,31256511,813843895
325,18,1,first,37,2000000,370351775,401617076,68915745355,80960600328,74531103604,31265301,814138475
325,17,6,second,37,2000000,370382107,401639234,68926911363,80970597774,74541823951,31257127,813861235
325,18,1,first,38,2000000,370362024,401609748,68920238336,80958905600,74532627313,31247724,813889310
325,17,6,second,38,2000000,370340433,401602222,68911760057,80955957164,74526621764,31261789,814473693
325,18,1,first,39,2000000,370351420,401606757,68916078210,80957387831,74529601480,31255337,814263081
325,17,6,second,39,2000000,370356948,401644187,68917344606,80973006825,74537461175,31287239,815429081
325,18,1,first,40,2000000,370363038,401642847,68920071480,80972319941,74538732403,31279809,814926615
325,17,6,second,40,2000000,370361858,401623249,68919168672,80964772499,74535036789,31261391,813867593
325,18,1,first,41,2000000,370348111,401619905,68915084339,80963092683,74531619921,31271794,814937180
325,17,6,second,41,2000000,370384170,401642914,68927733414,80973070594,74543490606,31258744,813822796
325,18,1,first,42,2000000,370348205,401592342,68914830695,80951823668,74526276706,31244137,814100951
325,17,6,second,42,2000000,370369830,401637387,68922307364,80970608317,74539088427,31267557,814738827
325,18,1,first,43,2000000,370327982,401599507,68907302752,80954411013,74523235617,31271525,815242531
325,17,6,second,43,2000000,370378323,401626589,68926062857,80966255761,74538976999,31248266,814364620
325,18,1,first,44,2000000,370326798,401602554,68907649566,80956409850,74524274742,31275756,815509932
325,17,6,second,44,2000000,370337742,401590635,68910422410,80951456433,74523867969,31252893,814142905
325,18,1,first,45,2000000,370330946,401624256,68908073184,80964550482,74528647116,31293310,815329434
325,17,6,second,45,2000000,370323827,401581107,68905463523,80947933261,74519391861,31257280,814613062
325,18,1,first,46,2000000,370355799,401624670,68917940675,80965079338,74533553796,31268871,815912421
325,17,6,second,46,2000000,370400769,401649739,68933198169,80974825529,74547214461,31248970,813594776
325,18,1,first,47,2000000,370362884,401635339,68920632732,80969608639,74537506912,31272455,815227547
325,17,6,second,47,2000000,370388607,401621928,68929118415,80964323474,74540152187,31233321,813137515
325,18,1,first,48,2000000,370350819,401582980,68915749313,80947622692,74525234671,31232161,812902663
325,17,6,second,48,2000000,370390498,401631288,68930180380,80968001098,74542557540,31240790,813066398
325,18,1,first,49,2000000,370328051,401603311,68908119315,80956491747,74524832163,31275260,814946736
325,17,6,second,49,2000000,370342145,401609954,68912070373,80958946586,74528357116,31267809,814302727
325,18,1,first,50,2000000,370337794,401602103,68910793738,80956072591,74526050760,31264309,814764809
325,17,6,second,50,2000000,370358704,401626347,68918285844,80966077261,74534695744,31267643,814971617
325,18,1,first,51,2000000,370353406,401610377,68916625064,80959196937,74531071708,31256971,813678585
325,17,6,second,51,2000000,370366758,401597104,68921041444,80954192602,74531048022,31230346,813138002
325,18,1,first,52,2000000,370340951,401604250,68912789453,80956369712,74526946808,31263299,815265549
325,17,6,second,52,2000000,370328405,401598926,68907411077,80955098440,74523764663,31270521,814980191
325,18,1,first,53,2000000,370326745,401602937,68906844451,80955922387,74523687770,31276192,815391298
325,17,6,second,53,2000000,370332020,401621442,68908924722,80964438978,74528891729,31289422,815580242
325,18,1,first,54,2000000,370349605,401589343,68915410283,80950812941,74526182705,31239738,813857814
325,17,6,second,54,2000000,370371561,401626849,68922886867,80965943175,74537476868,31255288,813876306
325,18,1,first,55,2000000,370354517,401645503,68917476305,80972846805,74537377770,31290986,815567570
325,17,6,second,55,2000000,370372344,401625701,68922909444,80965769427,74537225978,31253357,814226915
325,18,1,first,56,2000000,370369175,401647214,68923348755,80974299772,74540918254,31278039,815812019
325,17,6,second,56,2000000,370336716,401581807,68909648756,80946940135,74521849947,31245091,812888997
