n,a,b,orientation,batch,samples,kind,k,count
305,17,4,first,0,2000000,minus,98,1
305,17,4,first,0,2000000,minus,99,3
305,17,4,first,0,2000000,minus,100,1
305,17,4,first,0,2000000,minus,101,1
305,17,4,first,0,2000000,minus,102,2
305,17,4,first,0,2000000,minus,103,4
305,17,4,first,0,2000000,minus,104,5
305,17,4,first,0,2000000,minus,105,2
305,17,4,first,0,2000000,minus,106,5
305,17,4,first,0,2000000,minus,107,4
305,17,4,first,0,2000000,minus,108,8
305,17,4,first,0,2000000,minus,109,7
305,17,4,first,0,2000000,minus,110,13
305,17,4,first,0,2000000,minus,111,22
305,17,4,first,0,2000000,minus,112,25
305,17,4,first,0,2000000,minus,113,19
305,17,4,first,0,2000000,minus,114,22
305,17,4,first,0,2000000,minus,115,28
305,17,4,first,0,2000000,minus,116,43
305,17,4,first,0,2000000,minus,117,52
305,17,4,first,0,2000000,minus,118,50
305,17,4,first,0,2000000,minus,119,82
305,17,4,first,0,2000000,minus,120,114
305,17,4,first,0,2000000,minus,121,92
305,17,4,first,0,2000000,minus,122,146
305,17,4,first,0,2000000,minus,123,127
305,17,4,first,0,2000000,minus,124,178
305,17,4,first,0,2000000,minus,125,223
305,17,4,first,0,2000000,minus,126,265
305,17,4,first,0,2000000,minus,127,323
305,17,4,first,0,2000000,minus,128,354
305,17,4,first,0,2000000,minus,129,432
305,17,4,first,0,2000000,minus,130,497
305,17,4,first,0,2000000,minus,131,660
305,17,4,first,0,2000000,plus,131,3
305,17,4,first,0,2000000,minus,132,718
305,17,4,first,0,2000000,minus,133,834
305,17,4,first,0,2000000,plus,133,3
305,17,4,first,0,2000000,minus,134,971
305,17,4,first,0,2000000,plus,134,2
305,17,4,first,0,2000000,minus,135,1158
305,17,4,first,0,2000000,plus,135,5
305,17,4,first,0,2000000,minus,136,1433
305,17,4,first,0,2000000,plus,136,10
305,17,4,first,0,2000000,minus,137,1657
305,17,4,first,0,2000000,plus,137,6
305,17,4,first,0,2000000,minus,138,1824
305,17,4,first,0,2000000,plus,138,13
305,17,4,first,0,2000000,minus,139,2265
305,17,4,first,0,2000000,plus,139,20
305,17,4,first,0,2000000,minus,140,2525
305,17,4,first,0,2000000,plus,140,20
305,17,4,first,0,2000000,minus,141,3034
